strategy,symbol,timeframe,type,lot_size,entry_time,entry_price,exit_price,exit_time,pnl_usd,pnl_pips,exit_reason,duration_mins,win,module_id,trade_id
1h 鎊日美盤高波收租 (v5.10 自適應帶寬),GBPJPY,1h,Buy (Short Put),1.0,2025-11-06 18:00:00,200.502,201.078,2025-11-06 20:00:00,356.86,57.6,BB Middle (Mean Reversion),120,True,Opt_GBPJPY_1H_US,1
1h 歐日美盤波動收租 (v5.10 自適應帶寬),EURJPY,1h,Buy (Short Put),1.0,2025-11-06 18:00:00,176.514,176.698,2025-11-06 22:00:00,110.59,18.4,Cut Before Rollover (MT5 22:00),240,True,Opt_EURJPY_1H_US,2
1h 澳美白天低點差收租 (v5.10 自適應帶寬),AUDUSD,1h,Buy (Short Put),1.0,2025-11-06 17:00:00,0.64699,0.64787,2025-11-06 22:00:00,83.0,8.8,Cut Before Rollover (MT5 22:00),300,True,Opt_AUDUSD_1H_DAY,3
1h 鎊日美盤高波收租 (v5.10 自適應帶寬),GBPJPY,1h,Sell (Short Call),1.0,2025-11-13 14:00:00,203.762,203.788,2025-11-13 22:00:00,-21.33,-2.6,Cut Before Rollover (MT5 22:00),480,False,Opt_GBPJPY_1H_US,4
1h 鎊日美盤高波收租 (v5.10 自適應帶寬),GBPJPY,1h,Sell (Short Call),1.0,2025-11-17 14:00:00,204.063,204.45954,2025-11-17 17:00:00,-254.11,-39.7,SL (-1.5 ATR),180,False,Opt_GBPJPY_1H_US,5
1h 歐日美盤波動收租 (v5.10 自適應帶寬),EURJPY,1h,Sell (Short Call),1.0,2025-11-17 17:00:00,179.975,179.892,2025-11-17 22:00:00,47.14,8.3,Cut Before Rollover (MT5 22:00),300,True,Opt_EURJPY_1H_US,6
1h 鎊日美盤高波收租 (v5.10 自適應帶寬),GBPJPY,1h,Sell (Short Call),1.0,2025-11-20 16:00:00,206.647,205.97,2025-11-20 22:00:00,420.31,67.7,Cut Before Rollover (MT5 22:00),360,True,Opt_GBPJPY_1H_US,7
1h 鎊日美盤高波收租 (v5.10 自適應帶寬),GBPJPY,1h,Buy (Short Put),1.0,2025-11-21 13:00:00,204.635,204.934,2025-11-21 22:00:00,182.84,29.9,Cut Before Rollover (MT5 22:00),540,True,Opt_GBPJPY_1H_US,8
1h 鎊日美盤高波收租 (v5.10 自適應帶寬),GBPJPY,1h,Sell (Short Call),1.0,2025-11-24 14:00:00,205.637,205.605,2025-11-24 22:00:00,15.1,3.2,Cut Before Rollover (MT5 22:00),480,True,Opt_GBPJPY_1H_US,9
1h 鎊日美盤高波收租 (v5.10 自適應帶寬),GBPJPY,1h,Sell (Short Call),1.0,2025-11-26 15:00:00,206.656,207.094,2025-11-26 22:00:00,-280.16,-43.8,Cut Before Rollover (MT5 22:00),420,False,Opt_GBPJPY_1H_US,10
