Symbol,Timeframe,Session,TP_SL,Spread,Trades,WinRate,Max_Streak,R2_Smoothness,Profit,PF,MDD
EURUSD,M5,UTC 00-05,6.0/35.0p,0.8,97,64.9,9,0.9,-1774.5,0.41,-1.98
EURUSD,M5,UTC 22-05,8.0/40.0p,0.8,122,68.0,9,0.78,-799.7,0.72,-1.31
EURUSD,M15,UTC 00-05,10.0/30.0p,0.8,37,64.9,6,0.77,-322.1,0.77,-0.68
EURUSD,M15,UTC 23-06,12.0/35.0p,0.8,43,60.5,4,0.73,-439.7,0.74,-0.73
EURUSD,M15,UTC 00-05,15.0/35.0p,0.8,37,64.9,6,0.75,-309.7,0.78,-0.71
EURUSD,M30,UTC 00-06,15.0/40.0p,0.8,21,33.3,2,0.14,-302.7,0.63,-0.31
EURUSD,M30,UTC 22-06,20.0/50.0p,0.8,22,36.4,3,0.05,-209.1,0.75,-0.31
EURUSD,H1,UTC 21-06,25.0/60.0p,0.8,87,56.3,8,0.11,-734.6,0.9,-2.4
GBPUSD,M5,UTC 00-05,6.0/35.0p,1.0,97,68.0,7,0.74,-751.3,0.67,-1.16
GBPUSD,M5,UTC 22-05,8.0/40.0p,1.0,117,70.9,9,0.27,1.1,1.0,-0.95
GBPUSD,M15,UTC 00-05,10.0/30.0p,1.0,39,56.4,3,0.52,-515.7,0.71,-0.69
GBPUSD,M15,UTC 23-06,12.0/35.0p,1.0,46,52.2,4,0.57,-550.0,0.73,-0.8
GBPUSD,M15,UTC 00-05,15.0/35.0p,1.0,39,56.4,3,0.46,-404.4,0.77,-0.66
GBPUSD,M30,UTC 00-06,15.0/40.0p,1.0,19,42.1,4,0.18,-139.7,0.81,-0.55
GBPUSD,M30,UTC 22-06,20.0/50.0p,1.0,19,42.1,4,0.06,-39.7,0.95,-0.55
GBPUSD,H1,UTC 21-06,25.0/60.0p,1.0,58,55.2,6,0.44,-1019.0,0.84,-2.2
USDJPY,M5,UTC 00-05,6.0/35.0p,0.9,122,66.4,8,0.87,-1226.2,0.62,-1.42
USDJPY,M5,UTC 22-05,8.0/40.0p,0.9,132,65.2,9,0.89,-1610.6,0.59,-1.93
USDJPY,M15,UTC 00-05,10.0/30.0p,0.9,41,56.1,8,0.74,-1359.7,0.45,-1.49
USDJPY,M15,UTC 23-06,12.0/35.0p,0.9,51,51.0,6,0.8,-1498.9,0.47,-1.72
USDJPY,M15,UTC 00-05,15.0/35.0p,0.9,41,56.1,8,0.72,-1315.1,0.5,-1.48
USDJPY,M30,UTC 00-06,15.0/40.0p,0.9,29,51.7,4,0.86,-950.4,0.53,-1.13
USDJPY,M30,UTC 22-06,20.0/50.0p,0.9,28,53.6,4,0.74,-597.4,0.69,-0.84
USDJPY,H1,UTC 21-06,25.0/60.0p,0.9,204,52.9,6,0.89,-6274.1,0.7,-7.19
AUDUSD,M5,UTC 00-05,6.0/35.0p,1.0,105,53.3,9,0.95,-2235.2,0.35,-2.4
AUDUSD,M5,UTC 22-05,8.0/40.0p,1.0,134,59.7,11,0.91,-1593.4,0.54,-1.97
AUDUSD,M15,UTC 00-05,10.0/30.0p,1.0,48,45.8,7,0.94,-2052.1,0.31,-2.42
AUDUSD,M15,UTC 23-06,12.0/35.0p,1.0,52,46.2,7,0.93,-1974.0,0.34,-2.36
AUDUSD,M15,UTC 00-05,15.0/35.0p,1.0,48,45.8,7,0.94,-2033.8,0.31,-2.42
AUDUSD,M30,UTC 00-06,15.0/40.0p,1.0,34,35.3,2,0.85,-1120.5,0.39,-1.12
AUDUSD,M30,UTC 22-06,20.0/50.0p,1.0,35,37.1,3,0.78,-1052.6,0.43,-1.05
AUDUSD,H1,UTC 21-06,25.0/60.0p,1.0,164,53.0,7,0.71,-1349.6,0.87,-2.47
USDCAD,M5,UTC 00-05,6.0/35.0p,1.2,68,70.6,10,0.06,130.1,1.15,-0.23
USDCAD,M5,UTC 22-05,8.0/40.0p,1.2,80,73.8,12,0.78,617.5,1.7,-0.19
USDCAD,M15,UTC 00-05,10.0/30.0p,1.2,28,67.9,5,0.05,114.8,1.18,-0.24
