timestamp_mt5,timestamp_utc,timestamp_tpe,open,high,low,close,volume
2007-06-07 00:00:00,2007-06-06 21:00:00,2007-06-07 05:00:00,1.0242,1.0361,1.0241,1.0322,2336.0
2007-06-08 00:00:00,2007-06-07 21:00:00,2007-06-08 05:00:00,1.0323,1.0434,1.0293,1.043,2274.0
2007-06-11 00:00:00,2007-06-10 21:00:00,2007-06-11 05:00:00,1.043,1.0453,1.038,1.0449,1608.0
2007-06-12 00:00:00,2007-06-11 21:00:00,2007-06-12 05:00:00,1.0448,1.0488,1.0416,1.0455,1586.0
2007-06-13 00:00:00,2007-06-12 21:00:00,2007-06-13 05:00:00,1.0454,1.0469,1.0407,1.0454,2022.0
2007-06-14 00:00:00,2007-06-13 21:00:00,2007-06-14 05:00:00,1.0453,1.0458,1.0375,1.0412,1706.0
2007-06-15 00:00:00,2007-06-14 21:00:00,2007-06-15 05:00:00,1.0413,1.046,1.0395,1.0449,1304.0
2007-06-18 00:00:00,2007-06-17 21:00:00,2007-06-18 05:00:00,1.045,1.0486,1.0415,1.046,1368.0
2007-06-19 00:00:00,2007-06-18 21:00:00,2007-06-19 05:00:00,1.0461,1.0501,1.0448,1.049,1390.0
2007-06-20 00:00:00,2007-06-19 21:00:00,2007-06-20 05:00:00,1.0489,1.0505,1.0428,1.0453,1684.0
2007-06-21 00:00:00,2007-06-20 21:00:00,2007-06-21 05:00:00,1.0452,1.052,1.045,1.0512,1362.0
2007-06-22 00:00:00,2007-06-21 21:00:00,2007-06-22 05:00:00,1.0513,1.0523,1.0386,1.0412,1576.0
2007-06-25 00:00:00,2007-06-24 21:00:00,2007-06-25 05:00:00,1.0427,1.0439,1.0374,1.0386,1530.0
2007-06-26 00:00:00,2007-06-25 21:00:00,2007-06-26 05:00:00,1.0387,1.045,1.0343,1.0367,1898.0
2007-06-27 00:00:00,2007-06-26 21:00:00,2007-06-27 05:00:00,1.0366,1.0371,1.0253,1.0326,2168.0
2007-06-28 00:00:00,2007-06-27 21:00:00,2007-06-28 05:00:00,1.0325,1.0445,1.0311,1.0439,1898.0
2007-06-29 00:00:00,2007-06-28 21:00:00,2007-06-29 05:00:00,1.0438,1.048,1.0347,1.037,1906.0
2007-07-02 00:00:00,2007-07-01 21:00:00,2007-07-02 05:00:00,1.0399,1.0426,1.0356,1.0392,1836.0
2007-07-03 00:00:00,2007-07-02 21:00:00,2007-07-03 05:00:00,1.0393,1.0415,1.0354,1.0393,1612.0
2007-07-04 00:00:00,2007-07-03 21:00:00,2007-07-04 05:00:00,1.0392,1.0441,1.0384,1.0429,918.0
2007-07-05 00:00:00,2007-07-04 21:00:00,2007-07-05 05:00:00,1.0428,1.0442,1.0386,1.0427,1610.0
2007-07-06 00:00:00,2007-07-05 21:00:00,2007-07-06 05:00:00,1.0426,1.046,1.0424,1.0448,1354.0
2007-07-09 00:00:00,2007-07-08 21:00:00,2007-07-09 05:00:00,1.0448,1.0474,1.0441,1.0454,1316.0
2007-07-10 00:00:00,2007-07-09 21:00:00,2007-07-10 05:00:00,1.0455,1.0467,1.0288,1.0343,2290.0
2007-07-11 00:00:00,2007-07-10 21:00:00,2007-07-11 05:00:00,1.0344,1.0415,1.0318,1.0392,2198.0
2007-07-12 00:00:00,2007-07-11 21:00:00,2007-07-12 05:00:00,1.0393,1.0435,1.0353,1.0427,1864.0
2007-07-13 00:00:00,2007-07-12 21:00:00,2007-07-13 05:00:00,1.0426,1.0477,1.04,1.0472,1536.0
2007-07-16 00:00:00,2007-07-15 21:00:00,2007-07-16 05:00:00,1.0469,1.0515,1.0463,1.048,1636.0
2007-07-17 00:00:00,2007-07-16 21:00:00,2007-07-17 05:00:00,1.0481,1.0512,1.0466,1.0484,1822.0
2007-07-18 00:00:00,2007-07-17 21:00:00,2007-07-18 05:00:00,1.0485,1.0564,1.0475,1.0529,2126.0
2007-07-19 00:00:00,2007-07-18 21:00:00,2007-07-19 05:00:00,1.0528,1.0598,1.0521,1.0584,1810.0
2007-07-20 00:00:00,2007-07-19 21:00:00,2007-07-20 05:00:00,1.0583,1.0611,1.051,1.0566,1860.0
2007-07-23 00:00:00,2007-07-22 21:00:00,2007-07-23 05:00:00,1.0558,1.0665,1.0538,1.0638,1778.0
2007-07-24 00:00:00,2007-07-23 21:00:00,2007-07-24 05:00:00,1.0639,1.0674,1.0589,1.06,2066.0
2007-07-25 00:00:00,2007-07-24 21:00:00,2007-07-25 05:00:00,1.0599,1.0754,1.0579,1.0734,2660.0
2007-07-26 00:00:00,2007-07-25 21:00:00,2007-07-26 05:00:00,1.0735,1.0748,1.0423,1.053,3480.0
2007-07-27 00:00:00,2007-07-26 21:00:00,2007-07-27 05:00:00,1.0529,1.0563,1.0276,1.0289,4062.0
2007-07-30 00:00:00,2007-07-29 21:00:00,2007-07-30 05:00:00,1.0271,1.0354,1.0169,1.0317,3316.0
2007-07-31 00:00:00,2007-07-30 21:00:00,2007-07-31 05:00:00,1.0318,1.0372,1.0196,1.0245,2904.0
2007-08-01 00:00:00,2007-07-31 21:00:00,2007-08-01 05:00:00,1.0244,1.0308,1.0119,1.0264,3686.0
2007-08-02 00:00:00,2007-08-01 21:00:00,2007-08-02 05:00:00,1.0265,1.0366,1.0208,1.0314,2514.0
2007-08-03 00:00:00,2007-08-02 21:00:00,2007-08-03 05:00:00,1.0313,1.0346,1.0154,1.0168,2288.0
2007-08-06 00:00:00,2007-08-05 21:00:00,2007-08-06 05:00:00,1.0119,1.0234,1.0103,1.0202,2268.0
2007-08-07 00:00:00,2007-08-06 21:00:00,2007-08-07 05:00:00,1.0203,1.026,1.0138,1.0253,2398.0
2007-08-08 00:00:00,2007-08-07 21:00:00,2007-08-08 05:00:00,1.0254,1.0324,1.0223,1.0314,2400.0
2007-08-09 00:00:00,2007-08-08 21:00:00,2007-08-09 05:00:00,1.0315,1.0355,1.0135,1.0142,3498.0
2007-08-10 00:00:00,2007-08-09 21:00:00,2007-08-10 05:00:00,1.0141,1.0176,1.0035,1.0119,3468.0
2007-08-13 00:00:00,2007-08-12 21:00:00,2007-08-13 05:00:00,1.0132,1.0188,1.0073,1.0109,2990.0
2007-08-14 00:00:00,2007-08-13 21:00:00,2007-08-14 05:00:00,1.011,1.0153,1.0082,1.0091,2974.0
2007-08-15 00:00:00,2007-08-14 21:00:00,2007-08-15 05:00:00,1.009,1.0091,0.9958,0.9969,3806.0
2007-08-16 00:00:00,2007-08-15 21:00:00,2007-08-16 05:00:00,0.997,0.9976,0.9504,0.9624,6912.0
2007-08-17 00:00:00,2007-08-16 21:00:00,2007-08-17 05:00:00,0.9626,0.9641,0.9279,0.9631,6346.0
2007-08-20 00:00:00,2007-08-19 21:00:00,2007-08-20 05:00:00,0.9575,0.9759,0.9518,0.9654,3806.0
2007-08-21 00:00:00,2007-08-20 21:00:00,2007-08-21 05:00:00,0.9655,0.9712,0.9582,0.9636,3930.0
2007-08-22 00:00:00,2007-08-21 21:00:00,2007-08-22 05:00:00,0.9637,0.9821,0.9615,0.9815,3250.0
2007-08-23 00:00:00,2007-08-22 21:00:00,2007-08-23 05:00:00,0.9816,0.9917,0.9792,0.991,3524.0
2007-08-24 00:00:00,2007-08-23 21:00:00,2007-08-24 05:00:00,0.9909,0.9948,0.9845,0.9927,2760.0
2007-08-27 00:00:00,2007-08-26 21:00:00,2007-08-27 05:00:00,0.996,1.0014,0.9899,0.9904,2046.0
2007-08-28 00:00:00,2007-08-27 21:00:00,2007-08-28 05:00:00,0.9903,0.9924,0.9706,0.9722,3426.0
