timestamp_mt5,timestamp_utc,timestamp_tpe,open,high,low,close,volume
2007-06-08 00:00:00,2007-06-07 21:00:00,2007-06-08 05:00:00,0.8426,0.8447,0.8365,0.8447,800.0
2007-06-11 00:00:00,2007-06-10 21:00:00,2007-06-11 05:00:00,0.8435,0.8445,0.8392,0.8443,480.0
2007-06-12 00:00:00,2007-06-11 21:00:00,2007-06-12 05:00:00,0.8441,0.8445,0.8389,0.841,424.0
2007-06-13 00:00:00,2007-06-12 21:00:00,2007-06-13 05:00:00,0.8409,0.8425,0.8359,0.8402,622.0
2007-06-14 00:00:00,2007-06-13 21:00:00,2007-06-14 05:00:00,0.8401,0.8406,0.8332,0.8362,486.0
2007-06-15 00:00:00,2007-06-14 21:00:00,2007-06-15 05:00:00,0.8363,0.842,0.8354,0.842,354.0
2007-06-18 00:00:00,2007-06-17 21:00:00,2007-06-18 05:00:00,0.8417,0.8452,0.8397,0.8433,450.0
2007-06-19 00:00:00,2007-06-18 21:00:00,2007-06-19 05:00:00,0.8432,0.8469,0.842,0.8463,346.0
2007-06-20 00:00:00,2007-06-19 21:00:00,2007-06-20 05:00:00,0.8465,0.8474,0.8428,0.8437,434.0
2007-06-21 00:00:00,2007-06-20 21:00:00,2007-06-21 05:00:00,0.8436,0.8474,0.8435,0.8467,342.0
2007-06-22 00:00:00,2007-06-21 21:00:00,2007-06-22 05:00:00,0.8468,0.8492,0.8456,0.8471,390.0
2007-06-25 00:00:00,2007-06-24 21:00:00,2007-06-25 05:00:00,0.8493,0.8498,0.8451,0.8461,336.0
2007-06-26 00:00:00,2007-06-25 21:00:00,2007-06-26 05:00:00,0.8462,0.851,0.8423,0.8442,570.0
2007-06-27 00:00:00,2007-06-26 21:00:00,2007-06-27 05:00:00,0.8441,0.8442,0.8355,0.8401,758.0
2007-06-28 00:00:00,2007-06-27 21:00:00,2007-06-28 05:00:00,0.84,0.8477,0.8391,0.8475,506.0
2007-06-29 00:00:00,2007-06-28 21:00:00,2007-06-29 05:00:00,0.8476,0.852,0.8468,0.8491,542.0
2007-07-02 00:00:00,2007-07-01 21:00:00,2007-07-02 05:00:00,0.8512,0.8597,0.851,0.8589,460.0
2007-07-03 00:00:00,2007-07-02 21:00:00,2007-07-03 05:00:00,0.8588,0.859,0.8538,0.8549,418.0
2007-07-04 00:00:00,2007-07-03 21:00:00,2007-07-04 05:00:00,0.8548,0.8585,0.8544,0.8572,298.0
2007-07-05 00:00:00,2007-07-04 21:00:00,2007-07-05 05:00:00,0.857,0.8608,0.8554,0.8564,410.0
2007-07-06 00:00:00,2007-07-05 21:00:00,2007-07-06 05:00:00,0.8565,0.8588,0.8548,0.8579,284.0
2007-07-09 00:00:00,2007-07-08 21:00:00,2007-07-09 05:00:00,0.8575,0.8613,0.8567,0.8596,392.0
2007-07-10 00:00:00,2007-07-09 21:00:00,2007-07-10 05:00:00,0.8598,0.8636,0.8564,0.8601,570.0
2007-07-11 00:00:00,2007-07-10 21:00:00,2007-07-11 05:00:00,0.8602,0.864,0.8582,0.8627,654.0
2007-07-12 00:00:00,2007-07-11 21:00:00,2007-07-12 05:00:00,0.8626,0.8675,0.8602,0.8665,626.0
2007-07-13 00:00:00,2007-07-12 21:00:00,2007-07-13 05:00:00,0.8664,0.8715,0.8663,0.871,452.0
2007-07-16 00:00:00,2007-07-15 21:00:00,2007-07-16 05:00:00,0.8704,0.8762,0.8699,0.8717,576.0
2007-07-17 00:00:00,2007-07-16 21:00:00,2007-07-17 05:00:00,0.8716,0.8759,0.8715,0.8751,436.0
2007-07-18 00:00:00,2007-07-17 21:00:00,2007-07-18 05:00:00,0.875,0.8787,0.8741,0.8773,542.0
2007-07-19 00:00:00,2007-07-18 21:00:00,2007-07-19 05:00:00,0.8771,0.8809,0.8762,0.8796,528.0
2007-07-20 00:00:00,2007-07-19 21:00:00,2007-07-20 05:00:00,0.8797,0.8833,0.8753,0.8801,512.0
2007-07-23 00:00:00,2007-07-22 21:00:00,2007-07-23 05:00:00,0.8802,0.8848,0.8792,0.8844,428.0
2007-07-24 00:00:00,2007-07-23 21:00:00,2007-07-24 05:00:00,0.8843,0.8861,0.8802,0.8803,508.0
2007-07-25 00:00:00,2007-07-24 21:00:00,2007-07-25 05:00:00,0.8802,0.887,0.8787,0.8845,800.0
2007-07-26 00:00:00,2007-07-25 21:00:00,2007-07-26 05:00:00,0.8847,0.8867,0.8665,0.8748,1196.0
2007-07-27 00:00:00,2007-07-26 21:00:00,2007-07-27 05:00:00,0.8747,0.8766,0.8509,0.8518,1648.0
2007-07-30 00:00:00,2007-07-29 21:00:00,2007-07-30 05:00:00,0.8511,0.8613,0.8458,0.8589,1224.0
2007-07-31 00:00:00,2007-07-30 21:00:00,2007-07-31 05:00:00,0.859,0.8613,0.8494,0.8523,1030.0
2007-08-01 00:00:00,2007-07-31 21:00:00,2007-08-01 05:00:00,0.8522,0.8567,0.8445,0.8527,1334.0
2007-08-02 00:00:00,2007-08-01 21:00:00,2007-08-02 05:00:00,0.8526,0.8602,0.8491,0.8574,824.0
2007-08-03 00:00:00,2007-08-02 21:00:00,2007-08-03 05:00:00,0.8573,0.8602,0.8536,0.8546,674.0
2007-08-06 00:00:00,2007-08-05 21:00:00,2007-08-06 05:00:00,0.8545,0.8591,0.8534,0.8579,564.0
2007-08-07 00:00:00,2007-08-06 21:00:00,2007-08-07 05:00:00,0.8578,0.859,0.8512,0.8572,766.0
2007-08-08 00:00:00,2007-08-07 21:00:00,2007-08-08 05:00:00,0.8573,0.8634,0.855,0.8628,622.0
2007-08-09 00:00:00,2007-08-08 21:00:00,2007-08-09 05:00:00,0.8627,0.8661,0.8468,0.8476,1030.0
2007-08-10 00:00:00,2007-08-09 21:00:00,2007-08-10 05:00:00,0.8477,0.8479,0.84,0.8444,988.0
2007-08-13 00:00:00,2007-08-12 21:00:00,2007-08-13 05:00:00,0.8459,0.8504,0.8386,0.8397,988.0
2007-08-14 00:00:00,2007-08-13 21:00:00,2007-08-14 05:00:00,0.8396,0.8403,0.8326,0.833,782.0
2007-08-15 00:00:00,2007-08-14 21:00:00,2007-08-15 05:00:00,0.8329,0.833,0.8162,0.8169,1284.0
2007-08-16 00:00:00,2007-08-15 21:00:00,2007-08-16 05:00:00,0.817,0.8172,0.7812,0.7915,2812.0
2007-08-17 00:00:00,2007-08-16 21:00:00,2007-08-17 05:00:00,0.7916,0.7987,0.7673,0.7975,2674.0
2007-08-20 00:00:00,2007-08-19 21:00:00,2007-08-20 05:00:00,0.7935,0.8092,0.7891,0.8005,1384.0
2007-08-21 00:00:00,2007-08-20 21:00:00,2007-08-21 05:00:00,0.8007,0.806,0.7957,0.7991,1346.0
2007-08-22 00:00:00,2007-08-21 21:00:00,2007-08-22 05:00:00,0.7992,0.8146,0.7972,0.814,1070.0
2007-08-23 00:00:00,2007-08-22 21:00:00,2007-08-23 05:00:00,0.8141,0.8215,0.8124,0.8209,1136.0
2007-08-24 00:00:00,2007-08-23 21:00:00,2007-08-24 05:00:00,0.8208,0.8271,0.8168,0.8271,836.0
2007-08-27 00:00:00,2007-08-26 21:00:00,2007-08-27 05:00:00,0.8303,0.8333,0.8235,0.8237,606.0
2007-08-28 00:00:00,2007-08-27 21:00:00,2007-08-28 05:00:00,0.8235,0.8276,0.8075,0.8086,1140.0
2007-08-29 00:00:00,2007-08-28 21:00:00,2007-08-29 05:00:00,0.8088,0.8235,0.8051,0.8186,1084.0
2007-08-30 00:00:00,2007-08-29 21:00:00,2007-08-30 05:00:00,0.8184,0.8208,0.8125,0.8161,930.0
2007-08-31 00:00:00,2007-08-30 21:00:00,2007-08-31 05:00:00,0.816,0.825,0.8104,0.8184,930.0
2007-09-03 00:00:00,2007-09-02 21:00:00,2007-09-03 05:00:00,0.82,0.8238,0.8187,0.8207,434.0
2007-09-04 00:00:00,2007-09-03 21:00:00,2007-09-04 05:00:00,0.8206,0.8287,0.8199,0.8272,896.0
2007-09-05 00:00:00,2007-09-04 21:00:00,2007-09-05 05:00:00,0.8274,0.8276,0.8181,0.8206,1084.0
2007-09-06 00:00:00,2007-09-05 21:00:00,2007-09-06 05:00:00,0.8205,0.8296,0.82,0.8287,776.0
2007-09-07 00:00:00,2007-09-06 21:00:00,2007-09-07 05:00:00,0.8288,0.8308,0.8227,0.8264,688.0
2007-09-10 00:00:00,2007-09-09 21:00:00,2007-09-10 05:00:00,0.8196,0.8267,0.8172,0.8242,810.0
2007-09-11 00:00:00,2007-09-10 21:00:00,2007-09-11 05:00:00,0.8243,0.8348,0.8241,0.8331,670.0
2007-09-12 00:00:00,2007-09-11 21:00:00,2007-09-12 05:00:00,0.8332,0.8433,0.8326,0.8384,880.0
2007-09-13 00:00:00,2007-09-12 21:00:00,2007-09-13 05:00:00,0.8385,0.8437,0.8341,0.8391,1044.0
2007-09-14 00:00:00,2007-09-13 21:00:00,2007-09-14 05:00:00,0.8392,0.8429,0.8376,0.8418,714.0
2007-09-17 00:00:00,2007-09-16 21:00:00,2007-09-17 05:00:00,0.8435,0.8458,0.8311,0.8326,926.0
2007-09-18 00:00:00,2007-09-17 21:00:00,2007-09-18 05:00:00,0.8327,0.8529,0.8274,0.8506,1264.0
2007-09-19 00:00:00,2007-09-18 21:00:00,2007-09-19 05:00:00,0.8505,0.8588,0.8492,0.8581,970.0
2007-09-20 00:00:00,2007-09-19 21:00:00,2007-09-20 05:00:00,0.858,0.8702,0.8578,0.8688,858.0
2007-09-21 00:00:00,2007-09-20 21:00:00,2007-09-21 05:00:00,0.869,0.8698,0.8605,0.8666,658.0
2007-09-24 00:00:00,2007-09-23 21:00:00,2007-09-24 05:00:00,0.8674,0.8696,0.8631,0.8641,678.0
2007-09-25 00:00:00,2007-09-24 21:00:00,2007-09-25 05:00:00,0.8642,0.8746,0.861,0.8723,764.0
2007-09-26 00:00:00,2007-09-25 21:00:00,2007-09-26 05:00:00,0.8722,0.8771,0.8712,0.8758,634.0
2007-09-27 00:00:00,2007-09-26 21:00:00,2007-09-27 05:00:00,0.8759,0.8833,0.8749,0.8811,800.0
2007-09-28 00:00:00,2007-09-27 21:00:00,2007-09-28 05:00:00,0.8812,0.8886,0.8784,0.8877,720.0
2007-10-01 00:00:00,2007-09-30 21:00:00,2007-10-01 05:00:00,0.889,0.8948,0.8853,0.8914,750.0
2007-10-02 00:00:00,2007-10-01 21:00:00,2007-10-02 05:00:00,0.8915,0.8917,0.8807,0.8848,1074.0
2007-10-03 00:00:00,2007-10-02 21:00:00,2007-10-03 05:00:00,0.8847,0.8914,0.8807,0.8838,996.0
2007-10-04 00:00:00,2007-10-03 21:00:00,2007-10-04 05:00:00,0.8839,0.8899,0.8794,0.889,844.0
2007-10-05 00:00:00,2007-10-04 21:00:00,2007-10-05 05:00:00,0.8891,0.9003,0.8864,0.8973,844.0
2007-10-08 00:00:00,2007-10-07 21:00:00,2007-10-08 05:00:00,0.9015,0.9032,0.8918,0.8957,618.0
2007-10-09 00:00:00,2007-10-08 21:00:00,2007-10-09 05:00:00,0.8958,0.9012,0.8912,0.8996,1098.0
2007-10-10 00:00:00,2007-10-09 21:00:00,2007-10-10 05:00:00,0.8995,0.9006,0.8939,0.899,1212.0
2007-10-11 00:00:00,2007-10-10 21:00:00,2007-10-11 05:00:00,0.8989,0.9059,0.8971,0.9012,1752.0
2007-10-12 00:00:00,2007-10-11 21:00:00,2007-10-12 05:00:00,0.9011,0.9051,0.8951,0.9043,1258.0
2007-10-15 00:00:00,2007-10-14 21:00:00,2007-10-15 05:00:00,0.9044,0.9076,0.8958,0.8976,1320.0
2007-10-16 00:00:00,2007-10-15 21:00:00,2007-10-16 05:00:00,0.8975,0.9012,0.8821,0.8874,2234.0
2007-10-17 00:00:00,2007-10-16 21:00:00,2007-10-17 05:00:00,0.8873,0.8972,0.8816,0.8906,2322.0
2007-10-18 00:00:00,2007-10-17 21:00:00,2007-10-18 05:00:00,0.8905,0.8972,0.8886,0.8932,1658.0
2007-10-19 00:00:00,2007-10-18 21:00:00,2007-10-19 05:00:00,0.8931,0.8993,0.8892,0.8902,1544.0
2007-10-22 00:00:00,2007-10-21 21:00:00,2007-10-22 05:00:00,0.8854,0.8915,0.875,0.8872,2116.0
2007-10-23 00:00:00,2007-10-22 21:00:00,2007-10-23 05:00:00,0.8873,0.8991,0.8866,0.8985,1476.0
2007-10-24 00:00:00,2007-10-23 21:00:00,2007-10-24 05:00:00,0.8984,0.9047,0.8935,0.9011,1996.0
2007-10-25 00:00:00,2007-10-24 21:00:00,2007-10-25 05:00:00,0.9012,0.9097,0.901,0.9093,1440.0
2007-10-26 00:00:00,2007-10-25 21:00:00,2007-10-26 05:00:00,0.9092,0.9185,0.9092,0.9182,1246.0
2007-10-29 00:00:00,2007-10-28 21:00:00,2007-10-29 05:00:00,0.9192,0.9271,0.9182,0.9188,1366.0
2007-10-30 00:00:00,2007-10-29 21:00:00,2007-10-30 05:00:00,0.9229,0.9236,0.9145,0.9213,1404.0
2007-10-31 00:00:00,2007-10-30 21:00:00,2007-10-31 05:00:00,0.9186,0.9344,0.9186,0.929,1758.0
2007-11-01 00:00:00,2007-10-31 21:00:00,2007-11-01 05:00:00,0.9315,0.9336,0.9106,0.9166,2196.0
2007-11-02 00:00:00,2007-11-01 21:00:00,2007-11-02 05:00:00,0.9121,0.9255,0.9121,0.9231,2320.0
2007-11-05 00:00:00,2007-11-04 22:00:00,2007-11-05 06:00:00,0.9211,0.9235,0.9156,0.9232,1710.0
2007-11-06 00:00:00,2007-11-05 22:00:00,2007-11-06 06:00:00,0.9204,0.9332,0.9202,0.9323,1266.0
2007-11-07 00:00:00,2007-11-06 22:00:00,2007-11-07 06:00:00,0.9288,0.94,0.9188,0.9259,2234.0
2007-11-08 00:00:00,2007-11-07 22:00:00,2007-11-08 06:00:00,0.9279,0.9329,0.9188,0.928,2432.0
2007-11-09 00:00:00,2007-11-08 22:00:00,2007-11-09 06:00:00,0.9268,0.9321,0.9099,0.9114,2546.0
2007-11-12 00:00:00,2007-11-11 22:00:00,2007-11-12 06:00:00,0.9055,0.9089,0.8753,0.8892,3224.0
2007-11-13 00:00:00,2007-11-12 22:00:00,2007-11-13 06:00:00,0.8891,0.9016,0.8845,0.9001,2286.0
2007-11-14 00:00:00,2007-11-13 22:00:00,2007-11-14 06:00:00,0.9002,0.9068,0.8931,0.898,2346.0
2007-11-15 00:00:00,2007-11-14 22:00:00,2007-11-15 06:00:00,0.8979,0.9015,0.883,0.8861,2164.0
2007-11-16 00:00:00,2007-11-15 22:00:00,2007-11-16 06:00:00,0.886,0.894,0.8816,0.8927,1918.0
2007-11-19 00:00:00,2007-11-18 22:00:00,2007-11-19 06:00:00,0.8977,0.8979,0.8787,0.8791,1742.0
2007-11-20 00:00:00,2007-11-19 22:00:00,2007-11-20 06:00:00,0.8792,0.8952,0.8758,0.8884,2552.0
2007-11-21 00:00:00,2007-11-20 22:00:00,2007-11-21 06:00:00,0.8885,0.8889,0.8651,0.8714,2712.0
2007-11-22 00:00:00,2007-11-21 22:00:00,2007-11-22 06:00:00,0.8715,0.8788,0.8693,0.8769,1190.0
2007-11-23 00:00:00,2007-11-22 22:00:00,2007-11-23 06:00:00,0.8771,0.8777,0.8684,0.8776,1312.0
2007-11-26 00:00:00,2007-11-25 22:00:00,2007-11-26 06:00:00,0.8808,0.8868,0.8666,0.8721,1856.0
2007-11-27 00:00:00,2007-11-26 22:00:00,2007-11-27 06:00:00,0.872,0.8814,0.8711,0.8769,2150.0
2007-11-28 00:00:00,2007-11-27 22:00:00,2007-11-28 06:00:00,0.8771,0.8919,0.8719,0.8834,1980.0
2007-11-29 00:00:00,2007-11-28 22:00:00,2007-11-29 06:00:00,0.8835,0.8871,0.8774,0.8864,1888.0
2007-11-30 00:00:00,2007-11-29 22:00:00,2007-11-30 06:00:00,0.8865,0.8894,0.8805,0.8842,1552.0
2007-12-03 00:00:00,2007-12-02 22:00:00,2007-12-03 06:00:00,0.8815,0.8842,0.8728,0.8744,1380.0
2007-12-04 00:00:00,2007-12-03 22:00:00,2007-12-04 06:00:00,0.8742,0.8764,0.8676,0.8687,1608.0
2007-12-05 00:00:00,2007-12-04 22:00:00,2007-12-05 06:00:00,0.8686,0.8744,0.8659,0.8723,1640.0
2007-12-06 00:00:00,2007-12-05 22:00:00,2007-12-06 06:00:00,0.8722,0.8797,0.869,0.8769,1258.0
2007-12-07 00:00:00,2007-12-06 22:00:00,2007-12-07 06:00:00,0.8768,0.8826,0.874,0.876,1106.0
2007-12-10 00:00:00,2007-12-09 22:00:00,2007-12-10 06:00:00,0.8756,0.8879,0.8748,0.8875,1246.0
2007-12-11 00:00:00,2007-12-10 22:00:00,2007-12-11 06:00:00,0.8876,0.8895,0.8709,0.8761,1618.0
2007-12-12 00:00:00,2007-12-11 22:00:00,2007-12-12 06:00:00,0.8762,0.8906,0.8749,0.8811,1856.0
