timestamp_mt5,timestamp_utc,timestamp_tpe,open,high,low,close,volume
2026-06-11 13:00:00,2026-06-11 10:00:00,2026-06-11 18:00:00,201.034,201.07,201.018,201.033,2767.0
2026-06-11 13:15:00,2026-06-11 10:15:00,2026-06-11 18:15:00,201.033,201.04,200.982,201.012,2406.0
2026-06-11 13:30:00,2026-06-11 10:30:00,2026-06-11 18:30:00,201.011,201.022,200.956,200.975,2504.0
2026-06-11 13:45:00,2026-06-11 10:45:00,2026-06-11 18:45:00,200.974,201.007,200.955,200.989,2067.0
2026-06-11 14:00:00,2026-06-11 11:00:00,2026-06-11 19:00:00,200.99,201.019,200.956,200.965,2240.0
2026-06-11 14:15:00,2026-06-11 11:15:00,2026-06-11 19:15:00,200.967,200.995,200.954,200.991,2557.0
2026-06-11 14:30:00,2026-06-11 11:30:00,2026-06-11 19:30:00,200.992,200.998,200.96,200.982,2224.0
2026-06-11 14:45:00,2026-06-11 11:45:00,2026-06-11 19:45:00,200.985,200.994,200.966,200.969,1834.0
2026-06-11 15:00:00,2026-06-11 12:00:00,2026-06-11 20:00:00,200.968,200.978,200.931,200.975,1849.0
2026-06-11 15:15:00,2026-06-11 12:15:00,2026-06-11 20:15:00,200.978,200.992,200.951,200.979,1746.0
2026-06-11 15:30:00,2026-06-11 12:30:00,2026-06-11 20:30:00,200.979,201.032,200.971,201.028,1614.0
2026-06-11 15:45:00,2026-06-11 12:45:00,2026-06-11 20:45:00,201.028,201.066,201.0,201.032,1913.0
2026-06-11 16:00:00,2026-06-11 13:00:00,2026-06-11 21:00:00,201.033,201.066,201.009,201.059,1709.0
2026-06-11 16:15:00,2026-06-11 13:15:00,2026-06-11 21:15:00,201.058,201.077,201.043,201.051,1489.0
2026-06-11 16:30:00,2026-06-11 13:30:00,2026-06-11 21:30:00,201.052,201.07,201.034,201.04,1947.0
2026-06-11 16:45:00,2026-06-11 13:45:00,2026-06-11 21:45:00,201.043,201.09,201.018,201.078,2106.0
2026-06-11 17:00:00,2026-06-11 14:00:00,2026-06-11 22:00:00,201.078,201.081,200.961,201.045,2312.0
2026-06-11 17:15:00,2026-06-11 14:15:00,2026-06-11 22:15:00,201.044,201.051,200.982,200.999,2366.0
2026-06-11 17:30:00,2026-06-11 14:30:00,2026-06-11 22:30:00,200.997,201.084,200.987,201.061,2396.0
2026-06-11 17:45:00,2026-06-11 14:45:00,2026-06-11 22:45:00,201.06,201.081,200.961,200.961,2403.0
2026-06-11 18:00:00,2026-06-11 15:00:00,2026-06-11 23:00:00,200.963,200.992,200.906,200.965,3110.0
2026-06-11 18:15:00,2026-06-11 15:15:00,2026-06-11 23:15:00,200.967,201.084,200.937,201.037,2701.0
2026-06-11 18:30:00,2026-06-11 15:30:00,2026-06-11 23:30:00,201.04,201.061,200.882,200.887,2341.0
2026-06-11 18:45:00,2026-06-11 15:45:00,2026-06-11 23:45:00,200.886,200.917,200.818,200.819,2173.0
2026-06-11 19:00:00,2026-06-11 16:00:00,2026-06-12 00:00:00,200.818,200.83,200.739,200.756,2480.0
2026-06-11 19:15:00,2026-06-11 16:15:00,2026-06-12 00:15:00,200.755,200.806,200.732,200.783,2244.0
2026-06-11 19:30:00,2026-06-11 16:30:00,2026-06-12 00:30:00,200.782,200.813,200.751,200.76,2020.0
2026-06-11 19:45:00,2026-06-11 16:45:00,2026-06-12 00:45:00,200.762,200.763,200.62,200.636,2451.0
2026-06-11 20:00:00,2026-06-11 17:00:00,2026-06-12 01:00:00,200.637,200.706,200.605,200.7,1962.0
2026-06-11 20:15:00,2026-06-11 17:15:00,2026-06-12 01:15:00,200.699,200.748,200.617,200.62,2162.0
2026-06-11 20:30:00,2026-06-11 17:30:00,2026-06-12 01:30:00,200.628,200.728,200.622,200.705,1847.0
2026-06-11 20:45:00,2026-06-11 17:45:00,2026-06-12 01:45:00,200.706,200.782,200.668,200.769,2119.0
2026-06-11 21:00:00,2026-06-11 18:00:00,2026-06-12 02:00:00,200.765,200.776,200.656,200.666,2056.0
2026-06-11 21:15:00,2026-06-11 18:15:00,2026-06-12 02:15:00,200.667,200.682,200.624,200.634,2064.0
2026-06-11 21:30:00,2026-06-11 18:30:00,2026-06-12 02:30:00,200.636,200.718,200.625,200.705,1913.0
2026-06-11 21:45:00,2026-06-11 18:45:00,2026-06-12 02:45:00,200.706,200.765,200.694,200.744,1840.0
2026-06-11 22:00:00,2026-06-11 19:00:00,2026-06-12 03:00:00,200.743,200.852,200.741,200.835,2200.0
2026-06-11 22:15:00,2026-06-11 19:15:00,2026-06-12 03:15:00,200.833,200.839,200.768,200.829,1936.0
2026-06-11 22:30:00,2026-06-11 19:30:00,2026-06-12 03:30:00,200.829,200.929,200.826,200.905,2416.0
2026-06-11 22:45:00,2026-06-11 19:45:00,2026-06-12 03:45:00,200.904,200.956,200.874,200.935,2067.0
2026-06-11 23:00:00,2026-06-11 20:00:00,2026-06-12 04:00:00,200.934,200.967,200.752,200.757,2361.0
2026-06-11 23:15:00,2026-06-11 20:15:00,2026-06-12 04:15:00,200.756,200.825,200.529,200.677,4374.0
2026-06-11 23:30:00,2026-06-11 20:30:00,2026-06-12 04:30:00,200.706,200.75,200.502,200.692,4372.0
2026-06-11 23:45:00,2026-06-11 20:45:00,2026-06-12 04:45:00,200.691,200.964,200.672,200.897,4579.0
2026-06-12 00:00:00,2026-06-11 21:00:00,2026-06-12 05:00:00,200.897,200.922,200.685,200.687,3884.0
2026-06-12 00:15:00,2026-06-11 21:15:00,2026-06-12 05:15:00,200.689,200.799,200.625,200.788,3470.0
2026-06-12 00:30:00,2026-06-11 21:30:00,2026-06-12 05:30:00,200.784,200.885,200.722,200.806,4120.0
2026-06-12 00:45:00,2026-06-11 21:45:00,2026-06-12 05:45:00,200.809,200.885,200.714,200.718,4266.0
2026-06-12 01:00:00,2026-06-11 22:00:00,2026-06-12 06:00:00,200.715,200.724,200.535,200.561,3765.0
2026-06-12 01:15:00,2026-06-11 22:15:00,2026-06-12 06:15:00,200.561,200.644,200.498,200.619,3334.0
2026-06-12 01:30:00,2026-06-11 22:30:00,2026-06-12 06:30:00,200.618,200.628,200.487,200.488,3444.0
2026-06-12 01:45:00,2026-06-11 22:45:00,2026-06-12 06:45:00,200.49,200.57,200.468,200.556,3515.0
2026-06-12 02:00:00,2026-06-11 23:00:00,2026-06-12 07:00:00,200.557,200.633,200.489,200.552,4053.0
2026-06-12 02:15:00,2026-06-11 23:15:00,2026-06-12 07:15:00,200.552,200.646,200.549,200.619,3229.0
2026-06-12 02:30:00,2026-06-11 23:30:00,2026-06-12 07:30:00,200.618,200.625,200.509,200.536,3282.0
2026-06-12 02:45:00,2026-06-11 23:45:00,2026-06-12 07:45:00,200.536,200.551,200.425,200.458,2685.0
2026-06-12 03:00:00,2026-06-12 00:00:00,2026-06-12 08:00:00,200.459,200.478,200.405,200.443,2723.0
2026-06-12 03:15:00,2026-06-12 00:15:00,2026-06-12 08:15:00,200.442,200.485,200.411,200.467,2520.0
2026-06-12 03:30:00,2026-06-12 00:30:00,2026-06-12 08:30:00,200.453,200.53,200.439,200.483,2518.0
2026-06-12 03:45:00,2026-06-12 00:45:00,2026-06-12 08:45:00,200.482,200.487,200.41,200.412,2182.0
2026-06-12 04:00:00,2026-06-12 01:00:00,2026-06-12 09:00:00,200.412,200.444,200.386,200.406,2442.0
2026-06-12 04:15:00,2026-06-12 01:15:00,2026-06-12 09:15:00,200.402,200.575,200.331,200.575,2338.0
2026-06-12 04:30:00,2026-06-12 01:30:00,2026-06-12 09:30:00,200.574,200.9,200.57,200.883,6041.0
2026-06-12 04:45:00,2026-06-12 01:45:00,2026-06-12 09:45:00,200.883,200.918,200.701,200.731,4935.0
2026-06-12 05:00:00,2026-06-12 02:00:00,2026-06-12 10:00:00,200.73,200.774,200.666,200.736,4932.0
2026-06-12 05:15:00,2026-06-12 02:15:00,2026-06-12 10:15:00,200.733,200.847,200.73,200.817,4431.0
2026-06-12 05:30:00,2026-06-12 02:30:00,2026-06-12 10:30:00,200.823,200.834,200.758,200.829,3304.0
2026-06-12 05:45:00,2026-06-12 02:45:00,2026-06-12 10:45:00,200.83,200.889,200.82,200.853,3533.0
2026-06-12 06:00:00,2026-06-12 03:00:00,2026-06-12 11:00:00,200.854,200.993,200.851,200.925,4126.0
2026-06-12 06:15:00,2026-06-12 03:15:00,2026-06-12 11:15:00,200.928,201.012,200.917,201.01,3819.0
2026-06-12 06:30:00,2026-06-12 03:30:00,2026-06-12 11:30:00,201.009,201.039,200.848,200.969,4227.0
2026-06-12 06:45:00,2026-06-12 03:45:00,2026-06-12 11:45:00,200.971,201.033,200.934,200.981,3606.0
2026-06-12 07:00:00,2026-06-12 04:00:00,2026-06-12 12:00:00,200.981,201.183,200.981,201.174,3210.0
2026-06-12 07:15:00,2026-06-12 04:15:00,2026-06-12 12:15:00,201.174,201.288,201.163,201.284,2153.0
2026-06-12 07:30:00,2026-06-12 04:30:00,2026-06-12 12:30:00,201.284,201.293,201.166,201.167,1872.0
2026-06-12 07:45:00,2026-06-12 04:45:00,2026-06-12 12:45:00,201.166,201.248,201.166,201.231,1215.0
2026-06-12 08:30:00,2026-06-12 05:30:00,2026-06-12 13:30:00,201.089,201.175,201.061,201.08,321.0
2026-06-12 08:45:00,2026-06-12 05:45:00,2026-06-12 13:45:00,201.072,201.187,201.072,201.137,564.0
2026-06-12 09:00:00,2026-06-12 06:00:00,2026-06-12 14:00:00,201.079,201.357,201.079,201.313,1390.0
2026-06-12 09:15:00,2026-06-12 06:15:00,2026-06-12 14:15:00,201.313,201.341,201.295,201.334,1697.0
2026-06-12 09:30:00,2026-06-12 06:30:00,2026-06-12 14:30:00,201.336,201.391,201.323,201.381,1835.0
2026-06-12 09:45:00,2026-06-12 06:45:00,2026-06-12 14:45:00,201.379,201.427,201.33,201.42,1947.0
2026-06-12 10:00:00,2026-06-12 07:00:00,2026-06-12 15:00:00,201.42,201.444,201.358,201.415,1559.0
2026-06-12 10:15:00,2026-06-12 07:15:00,2026-06-12 15:15:00,201.414,201.418,201.32,201.34,1592.0
2026-06-12 10:30:00,2026-06-12 07:30:00,2026-06-12 15:30:00,201.342,201.357,201.31,201.325,1992.0
2026-06-12 10:45:00,2026-06-12 07:45:00,2026-06-12 15:45:00,201.325,201.435,201.325,201.393,2167.0
2026-06-12 11:00:00,2026-06-12 08:00:00,2026-06-12 16:00:00,201.396,201.418,201.336,201.338,3267.0
2026-06-12 11:15:00,2026-06-12 08:15:00,2026-06-12 16:15:00,201.336,201.358,201.307,201.344,2695.0
2026-06-12 11:30:00,2026-06-12 08:30:00,2026-06-12 16:30:00,201.344,201.376,201.285,201.295,2563.0
2026-06-12 11:45:00,2026-06-12 08:45:00,2026-06-12 16:45:00,201.294,201.308,201.206,201.241,2813.0
2026-06-12 12:00:00,2026-06-12 09:00:00,2026-06-12 17:00:00,201.246,201.268,201.182,201.241,2839.0
2026-06-12 12:15:00,2026-06-12 09:15:00,2026-06-12 17:15:00,201.241,201.255,201.149,201.173,2378.0
2026-06-12 12:30:00,2026-06-12 09:30:00,2026-06-12 17:30:00,201.173,201.245,201.17,201.205,2431.0
2026-06-12 12:45:00,2026-06-12 09:45:00,2026-06-12 17:45:00,201.205,201.292,201.204,201.29,1876.0
2026-06-12 13:00:00,2026-06-12 10:00:00,2026-06-12 18:00:00,201.288,201.384,201.273,201.366,2034.0
2026-06-12 13:15:00,2026-06-12 10:15:00,2026-06-12 18:15:00,201.368,201.372,201.317,201.347,1901.0
2026-06-12 13:30:00,2026-06-12 10:30:00,2026-06-12 18:30:00,201.347,201.373,201.307,201.345,1674.0
2026-06-12 13:45:00,2026-06-12 10:45:00,2026-06-12 18:45:00,201.344,201.356,201.32,201.321,1772.0
2026-06-12 14:00:00,2026-06-12 11:00:00,2026-06-12 19:00:00,201.321,201.348,201.3,201.321,1712.0
2026-06-12 14:15:00,2026-06-12 11:15:00,2026-06-12 19:15:00,201.321,201.353,201.302,201.348,1998.0
2026-06-12 14:30:00,2026-06-12 11:30:00,2026-06-12 19:30:00,201.351,201.396,201.344,201.376,2148.0
2026-06-12 14:45:00,2026-06-12 11:45:00,2026-06-12 19:45:00,201.379,201.385,201.341,201.364,2058.0
2026-06-12 15:00:00,2026-06-12 12:00:00,2026-06-12 20:00:00,201.365,201.378,201.332,201.351,1887.0
2026-06-12 15:15:00,2026-06-12 12:15:00,2026-06-12 20:15:00,201.352,201.376,201.342,201.364,1516.0
2026-06-12 15:30:00,2026-06-12 12:30:00,2026-06-12 20:30:00,201.365,201.395,201.353,201.385,1416.0
2026-06-12 15:45:00,2026-06-12 12:45:00,2026-06-12 20:45:00,201.384,201.391,201.341,201.356,1814.0
2026-06-12 16:00:00,2026-06-12 13:00:00,2026-06-12 21:00:00,201.353,201.377,201.274,201.318,2059.0
2026-06-12 16:15:00,2026-06-12 13:15:00,2026-06-12 21:15:00,201.32,201.32,201.252,201.256,1983.0
2026-06-12 16:30:00,2026-06-12 13:30:00,2026-06-12 21:30:00,201.254,201.311,201.244,201.274,2240.0
2026-06-12 16:45:00,2026-06-12 13:45:00,2026-06-12 21:45:00,201.273,201.301,201.252,201.256,2121.0
2026-06-12 17:00:00,2026-06-12 14:00:00,2026-06-12 22:00:00,201.256,201.397,201.256,201.352,2324.0
2026-06-12 17:15:00,2026-06-12 14:15:00,2026-06-12 22:15:00,201.35,201.386,201.305,201.328,2470.0
2026-06-12 17:30:00,2026-06-12 14:30:00,2026-06-12 22:30:00,201.331,201.332,201.217,201.257,3164.0
2026-06-12 17:45:00,2026-06-12 14:45:00,2026-06-12 22:45:00,201.257,201.336,201.185,201.335,2774.0
2026-06-12 18:00:00,2026-06-12 15:00:00,2026-06-12 23:00:00,201.336,201.369,201.21,201.249,3100.0
2026-06-12 18:15:00,2026-06-12 15:15:00,2026-06-12 23:15:00,201.25,201.336,201.242,201.242,2675.0
2026-06-12 18:30:00,2026-06-12 15:30:00,2026-06-12 23:30:00,201.239,201.268,201.082,201.147,2537.0
2026-06-12 18:45:00,2026-06-12 15:45:00,2026-06-12 23:45:00,201.148,201.238,201.075,201.236,2705.0
2026-06-12 19:00:00,2026-06-12 16:00:00,2026-06-13 00:00:00,201.236,201.324,201.223,201.266,3625.0
2026-06-12 19:15:00,2026-06-12 16:15:00,2026-06-13 00:15:00,201.266,201.366,201.185,201.302,4375.0
2026-06-12 19:30:00,2026-06-12 16:30:00,2026-06-13 00:30:00,201.301,201.307,201.171,201.2,4283.0
2026-06-12 19:45:00,2026-06-12 16:45:00,2026-06-13 00:45:00,201.2,201.236,201.137,201.2,3589.0
2026-06-12 20:00:00,2026-06-12 17:00:00,2026-06-13 01:00:00,201.198,201.218,201.132,201.15,3261.0
2026-06-12 20:15:00,2026-06-12 17:15:00,2026-06-13 01:15:00,201.15,201.277,201.121,201.252,3806.0
2026-06-12 20:30:00,2026-06-12 17:30:00,2026-06-13 01:30:00,201.253,201.273,201.179,201.249,3051.0
2026-06-12 20:45:00,2026-06-12 17:45:00,2026-06-13 01:45:00,201.249,201.261,201.186,201.228,2732.0
2026-06-12 21:00:00,2026-06-12 18:00:00,2026-06-13 02:00:00,201.223,201.242,201.183,201.223,2557.0
2026-06-12 21:15:00,2026-06-12 18:15:00,2026-06-13 02:15:00,201.223,201.228,201.117,201.197,3143.0
2026-06-12 21:30:00,2026-06-12 18:30:00,2026-06-13 02:30:00,201.196,201.258,201.166,201.192,2720.0
2026-06-12 21:45:00,2026-06-12 18:45:00,2026-06-13 02:45:00,201.193,201.215,201.09,201.098,2563.0
2026-06-12 22:00:00,2026-06-12 19:00:00,2026-06-13 03:00:00,201.098,201.142,201.057,201.116,2595.0
2026-06-12 22:15:00,2026-06-12 19:15:00,2026-06-13 03:15:00,201.117,201.193,201.106,201.169,2799.0
2026-06-12 22:30:00,2026-06-12 19:30:00,2026-06-13 03:30:00,201.166,201.231,201.121,201.214,2794.0
2026-06-12 22:45:00,2026-06-12 19:45:00,2026-06-13 03:45:00,201.212,201.225,201.147,201.153,2615.0
2026-06-12 23:00:00,2026-06-12 20:00:00,2026-06-13 04:00:00,201.154,201.177,201.041,201.054,3111.0
2026-06-12 23:15:00,2026-06-12 20:15:00,2026-06-13 04:15:00,201.055,201.063,200.943,200.977,2873.0
2026-06-12 23:30:00,2026-06-12 20:30:00,2026-06-13 04:30:00,200.977,201.07,200.977,201.015,2803.0
2026-06-12 23:45:00,2026-06-12 20:45:00,2026-06-13 04:45:00,201.015,201.076,200.967,201.029,2935.0
2026-06-13 00:00:00,2026-06-12 21:00:00,2026-06-13 05:00:00,201.028,201.155,201.012,201.09,3179.0
2026-06-13 00:15:00,2026-06-12 21:15:00,2026-06-13 05:15:00,201.09,201.201,201.072,201.197,3352.0
2026-06-13 00:30:00,2026-06-12 21:30:00,2026-06-13 05:30:00,201.201,201.253,201.028,201.059,4589.0
2026-06-13 00:45:00,2026-06-12 21:45:00,2026-06-13 05:45:00,201.058,201.123,201.009,201.009,3891.0
2026-06-13 01:00:00,2026-06-12 22:00:00,2026-06-13 06:00:00,200.997,201.117,200.986,201.082,3998.0
2026-06-13 01:15:00,2026-06-12 22:15:00,2026-06-13 06:15:00,201.083,201.089,200.964,201.0,3710.0
2026-06-13 01:30:00,2026-06-12 22:30:00,2026-06-13 06:30:00,201.001,201.118,201.001,201.074,3591.0
2026-06-13 01:45:00,2026-06-12 22:45:00,2026-06-13 06:45:00,201.072,201.221,200.979,201.168,4900.0
2026-06-13 02:00:00,2026-06-12 23:00:00,2026-06-13 07:00:00,201.167,201.201,201.125,201.17,4152.0
