timestamp_mt5,timestamp_utc,timestamp_tpe,open,high,low,close,volume
2007-06-08 00:00:00,2007-06-07 21:00:00,2007-06-08 05:00:00,1.5924,1.5964,1.5818,1.5823,2810.0
2007-06-11 00:00:00,2007-06-10 21:00:00,2007-06-11 05:00:00,1.5817,1.59,1.5808,1.5815,2042.0
2007-06-12 00:00:00,2007-06-11 21:00:00,2007-06-12 05:00:00,1.5816,1.5854,1.5771,1.5797,2070.0
2007-06-13 00:00:00,2007-06-12 21:00:00,2007-06-13 05:00:00,1.5798,1.5869,1.5779,1.5829,2446.0
2007-06-14 00:00:00,2007-06-13 21:00:00,2007-06-14 05:00:00,1.583,1.5946,1.5823,1.5913,2040.0
2007-06-15 00:00:00,2007-06-14 21:00:00,2007-06-15 05:00:00,1.5912,1.594,1.5867,1.5893,1770.0
2007-06-18 00:00:00,2007-06-17 21:00:00,2007-06-18 05:00:00,1.5893,1.5947,1.5847,1.5913,1726.0
2007-06-19 00:00:00,2007-06-18 21:00:00,2007-06-19 05:00:00,1.5912,1.5925,1.5842,1.5857,1802.0
2007-06-20 00:00:00,2007-06-19 21:00:00,2007-06-20 05:00:00,1.5858,1.5894,1.5833,1.5859,1944.0
2007-06-21 00:00:00,2007-06-20 21:00:00,2007-06-21 05:00:00,1.586,1.5867,1.5791,1.5801,1808.0
2007-06-22 00:00:00,2007-06-21 21:00:00,2007-06-22 05:00:00,1.5799,1.5917,1.5782,1.5894,1726.0
2007-06-25 00:00:00,2007-06-24 21:00:00,2007-06-25 05:00:00,1.5856,1.5919,1.5833,1.59,1714.0
2007-06-26 00:00:00,2007-06-25 21:00:00,2007-06-26 05:00:00,1.5899,1.5955,1.5823,1.5922,2306.0
2007-06-27 00:00:00,2007-06-26 21:00:00,2007-06-27 05:00:00,1.5923,1.6086,1.5916,1.6009,2824.0
2007-06-28 00:00:00,2007-06-27 21:00:00,2007-06-28 05:00:00,1.601,1.6027,1.5847,1.5855,2354.0
2007-06-29 00:00:00,2007-06-28 21:00:00,2007-06-29 05:00:00,1.5854,1.5963,1.5801,1.594,2224.0
2007-07-02 00:00:00,2007-07-01 21:00:00,2007-07-02 05:00:00,1.5892,1.5894,1.5837,1.5852,2182.0
2007-07-03 00:00:00,2007-07-02 21:00:00,2007-07-03 05:00:00,1.5851,1.5936,1.5851,1.5909,2012.0
2007-07-04 00:00:00,2007-07-03 21:00:00,2007-07-04 05:00:00,1.5908,1.5922,1.5855,1.5867,1316.0
2007-07-05 00:00:00,2007-07-04 21:00:00,2007-07-05 05:00:00,1.5868,1.5899,1.5842,1.5867,1968.0
2007-07-06 00:00:00,2007-07-05 21:00:00,2007-07-06 05:00:00,1.5866,1.5905,1.5846,1.5875,1728.0
2007-07-09 00:00:00,2007-07-08 21:00:00,2007-07-09 05:00:00,1.5878,1.5889,1.5819,1.5837,1544.0
2007-07-10 00:00:00,2007-07-09 21:00:00,2007-07-10 05:00:00,1.5835,1.6052,1.5824,1.597,2694.0
2007-07-11 00:00:00,2007-07-10 21:00:00,2007-07-11 05:00:00,1.5969,1.6009,1.5899,1.593,2774.0
2007-07-12 00:00:00,2007-07-11 21:00:00,2007-07-12 05:00:00,1.5929,1.5994,1.5884,1.5897,2520.0
2007-07-13 00:00:00,2007-07-12 21:00:00,2007-07-13 05:00:00,1.5898,1.5908,1.5805,1.5816,1996.0
2007-07-16 00:00:00,2007-07-15 21:00:00,2007-07-16 05:00:00,1.5824,1.5829,1.5738,1.5798,2190.0
2007-07-17 00:00:00,2007-07-16 21:00:00,2007-07-17 05:00:00,1.5799,1.5807,1.5734,1.5776,2192.0
2007-07-18 00:00:00,2007-07-17 21:00:00,2007-07-18 05:00:00,1.5777,1.5787,1.5677,1.573,2828.0
2007-07-19 00:00:00,2007-07-18 21:00:00,2007-07-19 05:00:00,1.5731,1.574,1.5664,1.5679,2408.0
2007-07-20 00:00:00,2007-07-19 21:00:00,2007-07-20 05:00:00,1.568,1.5774,1.565,1.5703,2244.0
2007-07-23 00:00:00,2007-07-22 21:00:00,2007-07-23 05:00:00,1.5715,1.5727,1.5613,1.5631,2086.0
2007-07-24 00:00:00,2007-07-23 21:00:00,2007-07-24 05:00:00,1.563,1.5692,1.5593,1.5672,2570.0
2007-07-25 00:00:00,2007-07-24 21:00:00,2007-07-25 05:00:00,1.5673,1.5702,1.5479,1.5493,3370.0
2007-07-26 00:00:00,2007-07-25 21:00:00,2007-07-26 05:00:00,1.5492,1.5856,1.5473,1.5705,4298.0
