timestamp_mt5,timestamp_utc,timestamp_tpe,open,high,low,close,volume
2007-06-08 00:00:00,2007-06-07 21:00:00,2007-06-08 05:00:00,1.6448,1.6524,1.6439,1.6515,1124.0
2007-06-11 00:00:00,2007-06-10 21:00:00,2007-06-11 05:00:00,1.6507,1.6552,1.6493,1.6537,808.0
2007-06-12 00:00:00,2007-06-11 21:00:00,2007-06-12 05:00:00,1.6538,1.6564,1.6517,1.6529,844.0
2007-06-13 00:00:00,2007-06-12 21:00:00,2007-06-13 05:00:00,1.6528,1.6576,1.6523,1.656,926.0
2007-06-14 00:00:00,2007-06-13 21:00:00,2007-06-14 05:00:00,1.6561,1.6598,1.6537,1.6583,984.0
2007-06-15 00:00:00,2007-06-14 21:00:00,2007-06-15 05:00:00,1.6582,1.6627,1.6566,1.6619,708.0
2007-06-18 00:00:00,2007-06-17 21:00:00,2007-06-18 05:00:00,1.662,1.6663,1.6607,1.6658,578.0
2007-06-19 00:00:00,2007-06-18 21:00:00,2007-06-19 05:00:00,1.6659,1.6671,1.6615,1.6646,700.0
2007-06-20 00:00:00,2007-06-19 21:00:00,2007-06-20 05:00:00,1.6645,1.6657,1.6585,1.659,968.0
2007-06-21 00:00:00,2007-06-20 21:00:00,2007-06-21 05:00:00,1.6589,1.6635,1.6588,1.6622,780.0
2007-06-22 00:00:00,2007-06-21 21:00:00,2007-06-22 05:00:00,1.6621,1.6637,1.6542,1.6557,1038.0
2007-06-25 00:00:00,2007-06-24 21:00:00,2007-06-25 05:00:00,1.6546,1.6558,1.6518,1.6526,822.0
2007-06-26 00:00:00,2007-06-25 21:00:00,2007-06-26 05:00:00,1.6527,1.6556,1.651,1.6517,868.0
2007-06-27 00:00:00,2007-06-26 21:00:00,2007-06-27 05:00:00,1.6516,1.6543,1.649,1.6542,888.0
2007-06-28 00:00:00,2007-06-27 21:00:00,2007-06-28 05:00:00,1.6541,1.6576,1.6526,1.6562,848.0
2007-06-29 00:00:00,2007-06-28 21:00:00,2007-06-29 05:00:00,1.6561,1.6573,1.6527,1.6538,836.0
2007-07-02 00:00:00,2007-07-01 21:00:00,2007-07-02 05:00:00,1.6536,1.6545,1.6463,1.6486,994.0
2007-07-03 00:00:00,2007-07-02 21:00:00,2007-07-03 05:00:00,1.6487,1.6557,1.6483,1.6546,698.0
2007-07-04 00:00:00,2007-07-03 21:00:00,2007-07-04 05:00:00,1.6547,1.6575,1.6539,1.6562,386.0
2007-07-05 00:00:00,2007-07-04 21:00:00,2007-07-05 05:00:00,1.6561,1.6575,1.6522,1.6555,804.0
2007-07-06 00:00:00,2007-07-05 21:00:00,2007-07-06 05:00:00,1.6557,1.6603,1.6554,1.6596,636.0
2007-07-09 00:00:00,2007-07-08 21:00:00,2007-07-09 05:00:00,1.66,1.6603,1.6566,1.6571,564.0
2007-07-10 00:00:00,2007-07-09 21:00:00,2007-07-10 05:00:00,1.657,1.6585,1.6524,1.6529,1080.0
2007-07-11 00:00:00,2007-07-10 21:00:00,2007-07-11 05:00:00,1.6528,1.6583,1.652,1.6566,1136.0
2007-07-12 00:00:00,2007-07-11 21:00:00,2007-07-12 05:00:00,1.6567,1.6591,1.6561,1.6587,786.0
2007-07-13 00:00:00,2007-07-12 21:00:00,2007-07-13 05:00:00,1.6588,1.6595,1.655,1.6573,644.0
2007-07-16 00:00:00,2007-07-15 21:00:00,2007-07-16 05:00:00,1.6577,1.6581,1.6548,1.6569,640.0
2007-07-17 00:00:00,2007-07-16 21:00:00,2007-07-17 05:00:00,1.6568,1.6588,1.6524,1.6553,978.0
2007-07-18 00:00:00,2007-07-17 21:00:00,2007-07-18 05:00:00,1.6552,1.6579,1.6533,1.6576,1130.0
2007-07-19 00:00:00,2007-07-18 21:00:00,2007-07-19 05:00:00,1.6575,1.6625,1.6567,1.6607,970.0
2007-07-20 00:00:00,2007-07-19 21:00:00,2007-07-20 05:00:00,1.6606,1.6633,1.6583,1.6604,1024.0
2007-07-23 00:00:00,2007-07-22 21:00:00,2007-07-23 05:00:00,1.6605,1.6666,1.6584,1.664,926.0
2007-07-24 00:00:00,2007-07-23 21:00:00,2007-07-24 05:00:00,1.6642,1.6682,1.6617,1.6626,966.0
2007-07-25 00:00:00,2007-07-24 21:00:00,2007-07-25 05:00:00,1.6625,1.6687,1.6617,1.6643,1180.0
2007-07-26 00:00:00,2007-07-25 21:00:00,2007-07-26 05:00:00,1.6644,1.6659,1.6531,1.6551,1516.0
2007-07-27 00:00:00,2007-07-26 21:00:00,2007-07-27 05:00:00,1.6552,1.6563,1.6466,1.6473,1762.0
2007-07-30 00:00:00,2007-07-29 21:00:00,2007-07-30 05:00:00,1.645,1.6504,1.6413,1.648,1344.0
2007-07-31 00:00:00,2007-07-30 21:00:00,2007-07-31 05:00:00,1.6481,1.6524,1.6421,1.6422,1226.0
2007-08-01 00:00:00,2007-07-31 21:00:00,2007-08-01 05:00:00,1.6421,1.6471,1.6348,1.6444,1694.0
2007-08-02 00:00:00,2007-08-01 21:00:00,2007-08-02 05:00:00,1.6445,1.6516,1.6419,1.6485,1186.0
2007-08-03 00:00:00,2007-08-02 21:00:00,2007-08-03 05:00:00,1.6486,1.6534,1.6382,1.6399,1180.0
2007-08-06 00:00:00,2007-08-05 21:00:00,2007-08-06 05:00:00,1.636,1.6452,1.6352,1.6428,1250.0
2007-08-07 00:00:00,2007-08-06 21:00:00,2007-08-07 05:00:00,1.6429,1.6473,1.6389,1.6456,1158.0
2007-08-08 00:00:00,2007-08-07 21:00:00,2007-08-08 05:00:00,1.6457,1.6513,1.6434,1.6505,986.0
2007-08-09 00:00:00,2007-08-08 21:00:00,2007-08-09 05:00:00,1.6506,1.6514,1.6352,1.6354,1496.0
2007-08-10 00:00:00,2007-08-09 21:00:00,2007-08-10 05:00:00,1.6353,1.6451,1.6307,1.6413,1596.0
2007-08-13 00:00:00,2007-08-12 21:00:00,2007-08-13 05:00:00,1.6422,1.6438,1.6354,1.6396,1318.0
2007-08-14 00:00:00,2007-08-13 21:00:00,2007-08-14 05:00:00,1.6397,1.6444,1.6377,1.6387,1330.0
2007-08-15 00:00:00,2007-08-14 21:00:00,2007-08-15 05:00:00,1.6386,1.6434,1.6345,1.6371,1580.0
2007-08-16 00:00:00,2007-08-15 21:00:00,2007-08-16 05:00:00,1.6369,1.6385,1.6254,1.6331,2334.0
2007-08-17 00:00:00,2007-08-16 21:00:00,2007-08-17 05:00:00,1.6332,1.6336,1.6176,1.6278,2452.0
2007-08-20 00:00:00,2007-08-19 21:00:00,2007-08-20 05:00:00,1.6284,1.6308,1.6232,1.6244,1192.0
2007-08-21 00:00:00,2007-08-20 21:00:00,2007-08-21 05:00:00,1.6243,1.6263,1.6205,1.6236,1244.0
2007-08-22 00:00:00,2007-08-21 21:00:00,2007-08-22 05:00:00,1.6234,1.635,1.6232,1.6346,1036.0
2007-08-23 00:00:00,2007-08-22 21:00:00,2007-08-23 05:00:00,1.6347,1.6419,1.6336,1.6375,1116.0
2007-08-24 00:00:00,2007-08-23 21:00:00,2007-08-24 05:00:00,1.6373,1.643,1.6327,1.6418,1032.0
2007-08-27 00:00:00,2007-08-26 21:00:00,2007-08-27 05:00:00,1.6418,1.6445,1.6388,1.6389,910.0
2007-08-28 00:00:00,2007-08-27 21:00:00,2007-08-28 05:00:00,1.639,1.641,1.6319,1.632,1078.0
2007-08-29 00:00:00,2007-08-28 21:00:00,2007-08-29 05:00:00,1.6319,1.6408,1.6318,1.6395,1046.0
2007-08-30 00:00:00,2007-08-29 21:00:00,2007-08-30 05:00:00,1.6396,1.6437,1.6379,1.6426,1340.0
2007-08-31 00:00:00,2007-08-30 21:00:00,2007-08-31 05:00:00,1.6425,1.6478,1.6423,1.6469,1346.0
2007-09-03 00:00:00,2007-09-02 21:00:00,2007-09-03 05:00:00,1.6454,1.6486,1.6451,1.6456,606.0
2007-09-04 00:00:00,2007-09-03 21:00:00,2007-09-04 05:00:00,1.6455,1.6497,1.6437,1.6489,1040.0
2007-09-05 00:00:00,2007-09-04 21:00:00,2007-09-05 05:00:00,1.6488,1.6494,1.6427,1.6436,1300.0
2007-09-06 00:00:00,2007-09-05 21:00:00,2007-09-06 05:00:00,1.6437,1.6462,1.6421,1.6443,1156.0
2007-09-07 00:00:00,2007-09-06 21:00:00,2007-09-07 05:00:00,1.6442,1.6446,1.6337,1.6362,1166.0
2007-09-10 00:00:00,2007-09-09 21:00:00,2007-09-10 05:00:00,1.6334,1.6395,1.6332,1.6369,1234.0
2007-09-11 00:00:00,2007-09-10 21:00:00,2007-09-11 05:00:00,1.6368,1.6461,1.6365,1.645,1174.0
2007-09-12 00:00:00,2007-09-11 21:00:00,2007-09-12 05:00:00,1.6449,1.6478,1.6409,1.6465,1158.0
2007-09-13 00:00:00,2007-09-12 21:00:00,2007-09-13 05:00:00,1.6466,1.6497,1.6407,1.644,1356.0
2007-09-14 00:00:00,2007-09-13 21:00:00,2007-09-14 05:00:00,1.6438,1.6515,1.6438,1.6504,1132.0
2007-09-17 00:00:00,2007-09-16 21:00:00,2007-09-17 05:00:00,1.648,1.6488,1.644,1.6463,1064.0
2007-09-18 00:00:00,2007-09-17 21:00:00,2007-09-18 05:00:00,1.6464,1.6527,1.6432,1.6515,1394.0
2007-09-19 00:00:00,2007-09-18 21:00:00,2007-09-19 05:00:00,1.6516,1.6558,1.6491,1.6524,1214.0
2007-09-20 00:00:00,2007-09-19 21:00:00,2007-09-20 05:00:00,1.6525,1.6532,1.6445,1.6493,1560.0
2007-09-21 00:00:00,2007-09-20 21:00:00,2007-09-21 05:00:00,1.6494,1.6538,1.6484,1.6522,1062.0
2007-09-24 00:00:00,2007-09-23 21:00:00,2007-09-24 05:00:00,1.6508,1.655,1.6506,1.6509,850.0
2007-09-25 00:00:00,2007-09-24 21:00:00,2007-09-25 05:00:00,1.651,1.6524,1.6469,1.6494,1160.0
2007-09-26 00:00:00,2007-09-25 21:00:00,2007-09-26 05:00:00,1.6493,1.6548,1.649,1.6528,768.0
2007-09-27 00:00:00,2007-09-26 21:00:00,2007-09-27 05:00:00,1.6527,1.6618,1.6525,1.6598,1104.0
2007-09-28 00:00:00,2007-09-27 21:00:00,2007-09-28 05:00:00,1.6597,1.6614,1.6577,1.6601,1110.0
2007-10-01 00:00:00,2007-09-30 21:00:00,2007-10-01 05:00:00,1.6611,1.6664,1.6592,1.6626,1134.0
2007-10-02 00:00:00,2007-10-01 21:00:00,2007-10-02 05:00:00,1.6627,1.6659,1.6619,1.6636,1148.0
2007-10-03 00:00:00,2007-10-02 21:00:00,2007-10-03 05:00:00,1.6637,1.6673,1.6614,1.6629,958.0
2007-10-04 00:00:00,2007-10-03 21:00:00,2007-10-04 05:00:00,1.663,1.6639,1.6593,1.6608,1006.0
2007-10-05 00:00:00,2007-10-04 21:00:00,2007-10-05 05:00:00,1.6607,1.6661,1.66,1.6655,818.0
2007-10-08 00:00:00,2007-10-07 21:00:00,2007-10-08 05:00:00,1.6642,1.6683,1.6638,1.6663,792.0
2007-10-09 00:00:00,2007-10-08 21:00:00,2007-10-09 05:00:00,1.6662,1.6706,1.6639,1.6692,1122.0
2007-10-10 00:00:00,2007-10-09 21:00:00,2007-10-10 05:00:00,1.6693,1.6746,1.6688,1.6738,984.0
2007-10-11 00:00:00,2007-10-10 21:00:00,2007-10-11 05:00:00,1.6737,1.6828,1.6728,1.6776,1256.0
2007-10-12 00:00:00,2007-10-11 21:00:00,2007-10-12 05:00:00,1.6775,1.6824,1.6756,1.6796,1058.0
2007-10-15 00:00:00,2007-10-14 21:00:00,2007-10-15 05:00:00,1.6788,1.6806,1.6756,1.6767,1090.0
2007-10-16 00:00:00,2007-10-15 21:00:00,2007-10-16 05:00:00,1.6766,1.6787,1.6739,1.6757,1194.0
2007-10-17 00:00:00,2007-10-16 21:00:00,2007-10-17 05:00:00,1.6756,1.6806,1.6714,1.675,1434.0
2007-10-18 00:00:00,2007-10-17 21:00:00,2007-10-18 05:00:00,1.6749,1.677,1.6682,1.6703,1438.0
2007-10-19 00:00:00,2007-10-18 21:00:00,2007-10-19 05:00:00,1.6702,1.6737,1.6671,1.6675,1248.0
2007-10-22 00:00:00,2007-10-21 21:00:00,2007-10-22 05:00:00,1.6656,1.6706,1.6635,1.6697,1610.0
2007-10-23 00:00:00,2007-10-22 21:00:00,2007-10-23 05:00:00,1.6696,1.6739,1.6667,1.6728,1252.0
2007-10-24 00:00:00,2007-10-23 21:00:00,2007-10-24 05:00:00,1.6729,1.6735,1.6672,1.6722,1202.0
2007-10-25 00:00:00,2007-10-24 21:00:00,2007-10-25 05:00:00,1.6721,1.6726,1.6678,1.6703,1176.0
2007-10-26 00:00:00,2007-10-25 21:00:00,2007-10-26 05:00:00,1.6702,1.6757,1.6694,1.6753,876.0
2007-10-29 00:00:00,2007-10-28 21:00:00,2007-10-29 05:00:00,1.6757,1.6808,1.6745,1.6785,818.0
2007-10-30 00:00:00,2007-10-29 21:00:00,2007-10-30 05:00:00,1.6795,1.6798,1.6719,1.6722,926.0
2007-10-31 00:00:00,2007-10-30 21:00:00,2007-10-31 05:00:00,1.6721,1.6785,1.671,1.6779,1380.0
2007-11-01 00:00:00,2007-10-31 21:00:00,2007-11-01 05:00:00,1.6775,1.6788,1.6691,1.6705,1732.0
2007-11-02 00:00:00,2007-11-01 21:00:00,2007-11-02 05:00:00,1.6702,1.6747,1.6671,1.6744,1634.0
2007-11-05 00:00:00,2007-11-04 22:00:00,2007-11-05 06:00:00,1.6739,1.674,1.6671,1.6699,1152.0
2007-11-06 00:00:00,2007-11-05 22:00:00,2007-11-06 06:00:00,1.6693,1.6706,1.6633,1.6659,1194.0
2007-11-07 00:00:00,2007-11-06 22:00:00,2007-11-07 06:00:00,1.6661,1.6668,1.6571,1.6587,1948.0
2007-11-08 00:00:00,2007-11-07 22:00:00,2007-11-08 06:00:00,1.659,1.6612,1.6516,1.6518,1828.0
2007-11-09 00:00:00,2007-11-08 22:00:00,2007-11-09 06:00:00,1.6552,1.6553,1.6449,1.6474,2236.0
2007-11-12 00:00:00,2007-11-11 22:00:00,2007-11-12 06:00:00,1.6466,1.648,1.6377,1.6438,2070.0
2007-11-13 00:00:00,2007-11-12 22:00:00,2007-11-13 06:00:00,1.644,1.6469,1.6408,1.6457,1458.0
2007-11-14 00:00:00,2007-11-13 22:00:00,2007-11-14 06:00:00,1.6459,1.649,1.6437,1.6466,1586.0
2007-11-15 00:00:00,2007-11-14 22:00:00,2007-11-15 06:00:00,1.6465,1.6475,1.639,1.6413,1510.0
2007-11-16 00:00:00,2007-11-15 22:00:00,2007-11-16 06:00:00,1.6412,1.6417,1.635,1.6386,1236.0
2007-11-19 00:00:00,2007-11-18 22:00:00,2007-11-19 06:00:00,1.6399,1.6401,1.6347,1.6348,942.0
2007-11-20 00:00:00,2007-11-19 22:00:00,2007-11-20 06:00:00,1.6349,1.6429,1.6343,1.6401,1622.0
2007-11-21 00:00:00,2007-11-20 22:00:00,2007-11-21 06:00:00,1.6402,1.6402,1.6346,1.6368,1272.0
2007-11-22 00:00:00,2007-11-21 22:00:00,2007-11-22 06:00:00,1.6369,1.6382,1.6314,1.6331,866.0
2007-11-23 00:00:00,2007-11-22 22:00:00,2007-11-23 06:00:00,1.6329,1.6368,1.6298,1.6352,1194.0
2007-11-26 00:00:00,2007-11-25 22:00:00,2007-11-26 06:00:00,1.6366,1.6397,1.6305,1.632,1150.0
2007-11-27 00:00:00,2007-11-26 22:00:00,2007-11-27 06:00:00,1.6321,1.6412,1.6316,1.638,1460.0
2007-11-28 00:00:00,2007-11-27 22:00:00,2007-11-28 06:00:00,1.6381,1.6514,1.6373,1.6492,1724.0
2007-11-29 00:00:00,2007-11-28 22:00:00,2007-11-29 06:00:00,1.6491,1.6511,1.6473,1.6503,1510.0
2007-11-30 00:00:00,2007-11-29 22:00:00,2007-11-30 06:00:00,1.6502,1.6588,1.6497,1.6564,1412.0
2007-12-03 00:00:00,2007-12-02 22:00:00,2007-12-03 06:00:00,1.6538,1.6572,1.6515,1.6538,1410.0
