timestamp_mt5,timestamp_utc,timestamp_tpe,open,high,low,close,volume
2007-06-08 00:00:00,2007-06-07 21:00:00,2007-06-08 05:00:00,162.57,162.87,161.75,162.77,1398.0
2007-06-11 00:00:00,2007-06-10 21:00:00,2007-06-11 05:00:00,162.36,162.77,162.09,162.53,746.0
2007-06-12 00:00:00,2007-06-11 21:00:00,2007-06-12 05:00:00,162.54,162.7,161.49,161.7,974.0
2007-06-13 00:00:00,2007-06-12 21:00:00,2007-06-13 05:00:00,161.71,163.36,161.67,163.22,1364.0
2007-06-14 00:00:00,2007-06-13 21:00:00,2007-06-14 05:00:00,163.23,163.83,163.2,163.79,754.0
2007-06-15 00:00:00,2007-06-14 21:00:00,2007-06-15 05:00:00,163.8,165.25,163.7,165.25,752.0
2007-06-18 00:00:00,2007-06-17 21:00:00,2007-06-18 05:00:00,165.27,166.07,165.24,165.98,1016.0
2007-06-19 00:00:00,2007-06-18 21:00:00,2007-06-19 05:00:00,165.97,166.09,165.31,165.65,1042.0
2007-06-20 00:00:00,2007-06-19 21:00:00,2007-06-20 05:00:00,165.66,166.01,165.19,165.48,976.0
2007-06-21 00:00:00,2007-06-20 21:00:00,2007-06-21 05:00:00,165.49,165.83,165.35,165.82,748.0
2007-06-22 00:00:00,2007-06-21 21:00:00,2007-06-22 05:00:00,165.83,166.92,165.79,166.84,732.0
2007-06-25 00:00:00,2007-06-24 21:00:00,2007-06-25 05:00:00,166.84,166.88,165.93,166.04,714.0
2007-06-26 00:00:00,2007-06-25 21:00:00,2007-06-26 05:00:00,166.05,166.34,165.09,165.38,1026.0
2007-06-27 00:00:00,2007-06-26 21:00:00,2007-06-27 05:00:00,165.37,165.94,164.23,165.51,1308.0
2007-06-28 00:00:00,2007-06-27 21:00:00,2007-06-28 05:00:00,165.53,165.92,165.22,165.61,950.0
2007-06-29 00:00:00,2007-06-28 21:00:00,2007-06-29 05:00:00,165.6,166.93,165.5,166.77,1030.0
2007-07-02 00:00:00,2007-07-01 21:00:00,2007-07-02 05:00:00,166.77,166.84,166.14,166.73,906.0
2007-07-03 00:00:00,2007-07-02 21:00:00,2007-07-03 05:00:00,166.72,167.17,166.22,166.57,726.0
2007-07-04 00:00:00,2007-07-03 21:00:00,2007-07-04 05:00:00,166.59,167.14,166.36,167.01,676.0
2007-07-05 00:00:00,2007-07-04 21:00:00,2007-07-05 05:00:00,167.02,167.27,166.78,167.15,836.0
2007-07-06 00:00:00,2007-07-05 21:00:00,2007-07-06 05:00:00,167.16,168.13,167.05,168.05,672.0
2007-07-09 00:00:00,2007-07-08 21:00:00,2007-07-09 05:00:00,168.21,168.49,167.83,167.86,680.0
2007-07-10 00:00:00,2007-07-09 21:00:00,2007-07-10 05:00:00,167.87,168.35,166.59,167.31,1374.0
2007-07-11 00:00:00,2007-07-10 21:00:00,2007-07-11 05:00:00,167.3,168.4,166.49,168.1,1828.0
2007-07-12 00:00:00,2007-07-11 21:00:00,2007-07-12 05:00:00,168.11,168.94,167.81,168.92,1314.0
2007-07-13 00:00:00,2007-07-12 21:00:00,2007-07-13 05:00:00,168.91,168.91,168.0,168.04,862.0
2007-07-16 00:00:00,2007-07-15 21:00:00,2007-07-16 05:00:00,168.2,168.33,167.71,168.09,788.0
2007-07-17 00:00:00,2007-07-16 21:00:00,2007-07-17 05:00:00,168.1,168.69,167.71,168.43,920.0
2007-07-18 00:00:00,2007-07-17 21:00:00,2007-07-18 05:00:00,168.41,168.45,167.98,168.41,1014.0
2007-07-19 00:00:00,2007-07-18 21:00:00,2007-07-19 05:00:00,168.42,168.8,168.09,168.61,758.0
2007-07-20 00:00:00,2007-07-19 21:00:00,2007-07-20 05:00:00,168.6,168.85,167.18,167.66,888.0
2007-07-23 00:00:00,2007-07-22 21:00:00,2007-07-23 05:00:00,167.49,167.78,166.49,166.71,1142.0
2007-07-24 00:00:00,2007-07-23 21:00:00,2007-07-24 05:00:00,166.72,167.35,165.49,165.5,1384.0
2007-07-25 00:00:00,2007-07-24 21:00:00,2007-07-25 05:00:00,165.49,166.22,164.7,165.43,1502.0
2007-07-26 00:00:00,2007-07-25 21:00:00,2007-07-26 05:00:00,165.44,165.49,162.2,163.46,2100.0
2007-07-27 00:00:00,2007-07-26 21:00:00,2007-07-27 05:00:00,163.47,163.93,161.5,161.72,2064.0
2007-07-30 00:00:00,2007-07-29 21:00:00,2007-07-30 05:00:00,161.33,163.65,161.23,163.15,1936.0
2007-07-31 00:00:00,2007-07-30 21:00:00,2007-07-31 05:00:00,163.13,163.78,161.8,161.82,1730.0
