timestamp_mt5,timestamp_utc,timestamp_tpe,open,high,low,close,volume
2007-06-11 00:00:00,2007-06-10 21:00:00,2007-06-11 05:00:00,2.3299,2.3417,2.3291,2.3347,1794.0
2007-06-12 00:00:00,2007-06-11 21:00:00,2007-06-12 05:00:00,2.3348,2.3525,2.3348,2.346,1964.0
2007-06-13 00:00:00,2007-06-12 21:00:00,2007-06-13 05:00:00,2.3463,2.3545,2.3431,2.3473,2302.0
2007-06-14 00:00:00,2007-06-13 21:00:00,2007-06-14 05:00:00,2.3477,2.3598,2.3459,2.3539,1942.0
2007-06-15 00:00:00,2007-06-14 21:00:00,2007-06-15 05:00:00,2.3541,2.3573,2.3451,2.3459,1568.0
2007-06-18 00:00:00,2007-06-17 21:00:00,2007-06-18 05:00:00,2.3467,2.3578,2.344,2.3522,1698.0
2007-06-19 00:00:00,2007-06-18 21:00:00,2007-06-19 05:00:00,2.3523,2.3563,2.3467,2.3476,1604.0
2007-06-20 00:00:00,2007-06-19 21:00:00,2007-06-20 05:00:00,2.3479,2.3638,2.3453,2.359,1974.0
2007-06-21 00:00:00,2007-06-20 21:00:00,2007-06-21 05:00:00,2.3591,2.3598,2.3497,2.3514,1626.0
2007-06-22 00:00:00,2007-06-21 21:00:00,2007-06-22 05:00:00,2.3512,2.3634,2.3479,2.3592,1668.0
2007-06-25 00:00:00,2007-06-24 21:00:00,2007-06-25 05:00:00,2.3534,2.3634,2.3508,2.3607,1648.0
2007-06-26 00:00:00,2007-06-25 21:00:00,2007-06-26 05:00:00,2.3606,2.3707,2.3499,2.366,2192.0
2007-06-27 00:00:00,2007-06-26 21:00:00,2007-06-27 05:00:00,2.3661,2.3909,2.3656,2.3788,2682.0
2007-06-28 00:00:00,2007-06-27 21:00:00,2007-06-28 05:00:00,2.379,2.3813,2.3606,2.3623,2336.0
2007-06-29 00:00:00,2007-06-28 21:00:00,2007-06-29 05:00:00,2.3621,2.3682,2.3519,2.3646,2052.0
2007-07-02 00:00:00,2007-07-01 21:00:00,2007-07-02 05:00:00,2.3588,2.3599,2.3427,2.3483,2306.0
2007-07-03 00:00:00,2007-07-02 21:00:00,2007-07-03 05:00:00,2.3482,2.3613,2.3474,2.3582,1912.0
2007-07-04 00:00:00,2007-07-03 21:00:00,2007-07-04 05:00:00,2.358,2.3598,2.3466,2.3505,1242.0
2007-07-05 00:00:00,2007-07-04 21:00:00,2007-07-05 05:00:00,2.3507,2.3521,2.3432,2.3483,1884.0
2007-07-06 00:00:00,2007-07-05 21:00:00,2007-07-06 05:00:00,2.348,2.3485,2.3413,2.3425,1624.0
2007-07-09 00:00:00,2007-07-08 21:00:00,2007-07-09 05:00:00,2.3445,2.3457,2.3375,2.3439,1562.0
2007-07-10 00:00:00,2007-07-09 21:00:00,2007-07-10 05:00:00,2.3436,2.3624,2.3417,2.3555,2524.0
2007-07-11 00:00:00,2007-07-10 21:00:00,2007-07-11 05:00:00,2.3554,2.3617,2.3505,2.3548,2740.0
2007-07-12 00:00:00,2007-07-11 21:00:00,2007-07-12 05:00:00,2.3546,2.3614,2.3382,2.3405,2354.0
2007-07-13 00:00:00,2007-07-12 21:00:00,2007-07-13 05:00:00,2.3402,2.3452,2.3329,2.3345,1674.0
2007-07-16 00:00:00,2007-07-15 21:00:00,2007-07-16 05:00:00,2.3358,2.3381,2.3274,2.3345,1768.0
2007-07-17 00:00:00,2007-07-16 21:00:00,2007-07-17 05:00:00,2.3342,2.3473,2.328,2.3402,1910.0
2007-07-18 00:00:00,2007-07-17 21:00:00,2007-07-18 05:00:00,2.34,2.3443,2.3319,2.3381,2372.0
2007-07-19 00:00:00,2007-07-18 21:00:00,2007-07-19 05:00:00,2.3383,2.3403,2.3249,2.3278,1962.0
2007-07-20 00:00:00,2007-07-19 21:00:00,2007-07-20 05:00:00,2.328,2.3463,2.3243,2.3354,2110.0
2007-07-23 00:00:00,2007-07-22 21:00:00,2007-07-23 05:00:00,2.3361,2.3386,2.3257,2.3325,1810.0
2007-07-24 00:00:00,2007-07-23 21:00:00,2007-07-24 05:00:00,2.3324,2.3401,2.3277,2.335,2194.0
2007-07-25 00:00:00,2007-07-24 21:00:00,2007-07-25 05:00:00,2.3352,2.3393,2.3156,2.3192,2668.0
2007-07-26 00:00:00,2007-07-25 21:00:00,2007-07-26 05:00:00,2.319,2.3601,2.3105,2.3396,3772.0
2007-07-27 00:00:00,2007-07-26 21:00:00,2007-07-27 05:00:00,2.3397,2.381,2.3345,2.3756,5414.0
2007-07-30 00:00:00,2007-07-29 21:00:00,2007-07-30 05:00:00,2.3752,2.3924,2.3562,2.364,3540.0
2007-07-31 00:00:00,2007-07-30 21:00:00,2007-07-31 05:00:00,2.3642,2.3885,2.355,2.3792,3166.0
2007-08-01 00:00:00,2007-07-31 21:00:00,2007-08-01 05:00:00,2.3794,2.3945,2.3712,2.3787,3766.0
2007-08-02 00:00:00,2007-08-01 21:00:00,2007-08-02 05:00:00,2.3785,2.3893,2.3651,2.3732,2592.0
2007-08-03 00:00:00,2007-08-02 21:00:00,2007-08-03 05:00:00,2.373,2.3899,2.3693,2.3874,2296.0
2007-08-06 00:00:00,2007-08-05 21:00:00,2007-08-06 05:00:00,2.3902,2.3922,2.3634,2.3681,2010.0
2007-08-07 00:00:00,2007-08-06 21:00:00,2007-08-07 05:00:00,2.3683,2.3775,2.3567,2.3582,2664.0
