timestamp_mt5,timestamp_utc,timestamp_tpe,open,high,low,close,volume
2007-06-08 00:00:00,2007-06-07 21:00:00,2007-06-08 05:00:00,2.4252,2.4338,2.415,2.4326,2680.0
2007-06-11 00:00:00,2007-06-10 21:00:00,2007-06-11 05:00:00,2.4314,2.4415,2.4297,2.4406,1828.0
2007-06-12 00:00:00,2007-06-11 21:00:00,2007-06-12 05:00:00,2.4408,2.4567,2.4396,2.4542,2060.0
2007-06-13 00:00:00,2007-06-12 21:00:00,2007-06-13 05:00:00,2.4543,2.4571,2.4489,2.4551,2264.0
2007-06-14 00:00:00,2007-06-13 21:00:00,2007-06-14 05:00:00,2.4553,2.4568,2.4471,2.4526,2156.0
2007-06-15 00:00:00,2007-06-14 21:00:00,2007-06-15 05:00:00,2.4524,2.4586,2.4502,2.4526,1702.0
2007-06-18 00:00:00,2007-06-17 21:00:00,2007-06-18 05:00:00,2.4535,2.4643,2.4534,2.4618,1682.0
2007-06-19 00:00:00,2007-06-18 21:00:00,2007-06-19 05:00:00,2.462,2.4673,2.4585,2.4639,1798.0
2007-06-20 00:00:00,2007-06-19 21:00:00,2007-06-20 05:00:00,2.464,2.4681,2.4599,2.4673,2222.0
2007-06-21 00:00:00,2007-06-20 21:00:00,2007-06-21 05:00:00,2.4672,2.4751,2.467,2.4731,1882.0
2007-06-22 00:00:00,2007-06-21 21:00:00,2007-06-22 05:00:00,2.4732,2.4741,2.4553,2.4576,2190.0
2007-06-25 00:00:00,2007-06-24 21:00:00,2007-06-25 05:00:00,2.4555,2.4601,2.4523,2.4532,1926.0
2007-06-26 00:00:00,2007-06-25 21:00:00,2007-06-26 05:00:00,2.4531,2.4585,2.4504,2.4542,2006.0
2007-06-27 00:00:00,2007-06-26 21:00:00,2007-06-27 05:00:00,2.4541,2.4588,2.4487,2.4576,2092.0
2007-06-28 00:00:00,2007-06-27 21:00:00,2007-06-28 05:00:00,2.4575,2.4688,2.4533,2.4673,2122.0
2007-06-29 00:00:00,2007-06-28 21:00:00,2007-06-29 05:00:00,2.4672,2.469,2.4501,2.4534,2258.0
2007-07-02 00:00:00,2007-07-01 21:00:00,2007-07-02 05:00:00,2.4543,2.4564,2.4322,2.4416,2654.0
2007-07-03 00:00:00,2007-07-02 21:00:00,2007-07-03 05:00:00,2.4417,2.4537,2.4404,2.4519,2000.0
2007-07-04 00:00:00,2007-07-03 21:00:00,2007-07-04 05:00:00,2.452,2.4552,2.4502,2.4527,1280.0
2007-07-05 00:00:00,2007-07-04 21:00:00,2007-07-05 05:00:00,2.4528,2.4541,2.4398,2.4498,2174.0
2007-07-06 00:00:00,2007-07-05 21:00:00,2007-07-06 05:00:00,2.4499,2.4545,2.4477,2.4487,1998.0
2007-07-09 00:00:00,2007-07-08 21:00:00,2007-07-09 05:00:00,2.4506,2.4552,2.4478,2.4517,1624.0
2007-07-10 00:00:00,2007-07-09 21:00:00,2007-07-10 05:00:00,2.4516,2.4553,2.4307,2.4376,2862.0
2007-07-11 00:00:00,2007-07-10 21:00:00,2007-07-11 05:00:00,2.4375,2.4521,2.4345,2.4486,2978.0
2007-07-12 00:00:00,2007-07-11 21:00:00,2007-07-12 05:00:00,2.4485,2.4495,2.4393,2.4416,2438.0
2007-07-13 00:00:00,2007-07-12 21:00:00,2007-07-13 05:00:00,2.4417,2.4473,2.4396,2.4461,2016.0
2007-07-16 00:00:00,2007-07-15 21:00:00,2007-07-16 05:00:00,2.4469,2.4514,2.444,2.4479,1924.0
2007-07-17 00:00:00,2007-07-16 21:00:00,2007-07-17 05:00:00,2.4478,2.4622,2.439,2.4549,2518.0
2007-07-18 00:00:00,2007-07-17 21:00:00,2007-07-18 05:00:00,2.4551,2.4668,2.4541,2.4631,2992.0
2007-07-19 00:00:00,2007-07-18 21:00:00,2007-07-19 05:00:00,2.4632,2.4679,2.457,2.4652,2442.0
2007-07-20 00:00:00,2007-07-19 21:00:00,2007-07-20 05:00:00,2.465,2.4757,2.4646,2.4689,2478.0
2007-07-23 00:00:00,2007-07-22 21:00:00,2007-07-23 05:00:00,2.4676,2.4849,2.4651,2.4828,2222.0
2007-07-24 00:00:00,2007-07-23 21:00:00,2007-07-24 05:00:00,2.4826,2.4902,2.4762,2.4764,2742.0
2007-07-25 00:00:00,2007-07-24 21:00:00,2007-07-25 05:00:00,2.4765,2.4964,2.4754,2.4908,3070.0
2007-07-26 00:00:00,2007-07-25 21:00:00,2007-07-26 05:00:00,2.491,2.4913,2.4604,2.4651,3852.0
2007-07-27 00:00:00,2007-07-26 21:00:00,2007-07-27 05:00:00,2.4649,2.4687,2.444,2.4452,4190.0
2007-07-30 00:00:00,2007-07-29 21:00:00,2007-07-30 05:00:00,2.4414,2.4475,2.4301,2.4408,3430.0
2007-07-31 00:00:00,2007-07-30 21:00:00,2007-07-31 05:00:00,2.4409,2.4513,2.4362,2.4387,3292.0
2007-08-01 00:00:00,2007-07-31 21:00:00,2007-08-01 05:00:00,2.4389,2.4485,2.4206,2.4429,3916.0
2007-08-02 00:00:00,2007-08-01 21:00:00,2007-08-02 05:00:00,2.4432,2.456,2.4399,2.4491,2868.0
2007-08-03 00:00:00,2007-08-02 21:00:00,2007-08-03 05:00:00,2.449,2.4572,2.425,2.4293,2820.0
2007-08-06 00:00:00,2007-08-05 21:00:00,2007-08-06 05:00:00,2.4201,2.4256,2.4057,2.4176,3348.0
2007-08-07 00:00:00,2007-08-06 21:00:00,2007-08-07 05:00:00,2.4178,2.424,2.4084,2.4191,2984.0
2007-08-08 00:00:00,2007-08-07 21:00:00,2007-08-08 05:00:00,2.4192,2.4381,2.4132,2.4357,3188.0
2007-08-09 00:00:00,2007-08-08 21:00:00,2007-08-09 05:00:00,2.436,2.4375,2.4189,2.4191,4032.0
2007-08-10 00:00:00,2007-08-09 21:00:00,2007-08-10 05:00:00,2.4189,2.4337,2.4083,2.4251,4142.0
2007-08-13 00:00:00,2007-08-12 21:00:00,2007-08-13 05:00:00,2.4248,2.4292,2.4073,2.4231,3466.0
2007-08-14 00:00:00,2007-08-13 21:00:00,2007-08-14 05:00:00,2.4232,2.426,2.4135,2.4151,3672.0
2007-08-15 00:00:00,2007-08-14 21:00:00,2007-08-15 05:00:00,2.4149,2.4331,2.409,2.423,4186.0
2007-08-16 00:00:00,2007-08-15 21:00:00,2007-08-16 05:00:00,2.4231,2.4251,2.3992,2.4122,6122.0
2007-08-17 00:00:00,2007-08-16 21:00:00,2007-08-17 05:00:00,2.4124,2.4124,2.3759,2.3932,5764.0
2007-08-20 00:00:00,2007-08-19 21:00:00,2007-08-20 05:00:00,2.3866,2.4025,2.3827,2.3946,3436.0
2007-08-21 00:00:00,2007-08-20 21:00:00,2007-08-21 05:00:00,2.3945,2.3979,2.3789,2.3917,3436.0
2007-08-22 00:00:00,2007-08-21 21:00:00,2007-08-22 05:00:00,2.3916,2.409,2.3893,2.4064,3352.0
2007-08-23 00:00:00,2007-08-22 21:00:00,2007-08-23 05:00:00,2.4065,2.4287,2.4044,2.4205,3510.0
2007-08-24 00:00:00,2007-08-23 21:00:00,2007-08-24 05:00:00,2.4204,2.4211,2.4048,2.4178,3030.0
2007-08-27 00:00:00,2007-08-26 21:00:00,2007-08-27 05:00:00,2.4227,2.4277,2.4117,2.4123,2144.0
2007-08-28 00:00:00,2007-08-27 21:00:00,2007-08-28 05:00:00,2.4124,2.4163,2.401,2.4032,3410.0
2007-08-29 00:00:00,2007-08-28 21:00:00,2007-08-29 05:00:00,2.4031,2.4228,2.4014,2.4189,3408.0
2007-08-30 00:00:00,2007-08-29 21:00:00,2007-08-30 05:00:00,2.4188,2.4277,2.4155,2.4209,3422.0
2007-08-31 00:00:00,2007-08-30 21:00:00,2007-08-31 05:00:00,2.421,2.4387,2.4209,2.4371,3290.0
2007-09-03 00:00:00,2007-09-02 21:00:00,2007-09-03 05:00:00,2.4318,2.4422,2.4316,2.4383,1842.0
2007-09-04 00:00:00,2007-09-03 21:00:00,2007-09-04 05:00:00,2.4382,2.4426,2.4342,2.4393,2846.0
2007-09-05 00:00:00,2007-09-04 21:00:00,2007-09-05 05:00:00,2.4394,2.4407,2.4296,2.4322,3240.0
2007-09-06 00:00:00,2007-09-05 21:00:00,2007-09-06 05:00:00,2.4321,2.4412,2.4244,2.4267,3224.0
2007-09-07 00:00:00,2007-09-06 21:00:00,2007-09-07 05:00:00,2.4269,2.43,2.404,2.411,3030.0
2007-09-10 00:00:00,2007-09-09 21:00:00,2007-09-10 05:00:00,2.4047,2.4125,2.4023,2.4054,3086.0
2007-09-11 00:00:00,2007-09-10 21:00:00,2007-09-11 05:00:00,2.4053,2.4186,2.404,2.4144,3154.0
2007-09-12 00:00:00,2007-09-11 21:00:00,2007-09-12 05:00:00,2.4145,2.415,2.3994,2.4035,3050.0
2007-09-13 00:00:00,2007-09-12 21:00:00,2007-09-13 05:00:00,2.4036,2.4139,2.3901,2.392,3764.0
2007-09-14 00:00:00,2007-09-13 21:00:00,2007-09-14 05:00:00,2.3921,2.3997,2.3843,2.3875,3316.0
2007-09-17 00:00:00,2007-09-16 21:00:00,2007-09-17 05:00:00,2.3855,2.3868,2.3615,2.3621,3118.0
2007-09-18 00:00:00,2007-09-17 21:00:00,2007-09-18 05:00:00,2.362,2.3823,2.3587,2.3789,3614.0
2007-09-19 00:00:00,2007-09-18 21:00:00,2007-09-19 05:00:00,2.379,2.3823,2.3593,2.3669,3626.0
2007-09-20 00:00:00,2007-09-19 21:00:00,2007-09-20 05:00:00,2.3672,2.3676,2.3505,2.3556,3814.0
2007-09-21 00:00:00,2007-09-20 21:00:00,2007-09-21 05:00:00,2.3555,2.3727,2.349,2.3689,2686.0
2007-09-24 00:00:00,2007-09-23 21:00:00,2007-09-24 05:00:00,2.3688,2.376,2.3617,2.3624,2544.0
2007-09-25 00:00:00,2007-09-24 21:00:00,2007-09-25 05:00:00,2.3622,2.3641,2.3505,2.3523,3204.0
2007-09-26 00:00:00,2007-09-25 21:00:00,2007-09-26 05:00:00,2.3524,2.3636,2.3507,2.3569,2786.0
2007-09-27 00:00:00,2007-09-26 21:00:00,2007-09-27 05:00:00,2.3568,2.3816,2.3552,2.3777,3102.0
2007-09-28 00:00:00,2007-09-27 21:00:00,2007-09-28 05:00:00,2.3778,2.3845,2.3657,2.3821,3578.0
2007-10-01 00:00:00,2007-09-30 21:00:00,2007-10-01 05:00:00,2.3807,2.3971,2.3786,2.3871,2822.0
2007-10-02 00:00:00,2007-10-01 21:00:00,2007-10-02 05:00:00,2.387,2.4021,2.3849,2.3988,2888.0
2007-10-03 00:00:00,2007-10-02 21:00:00,2007-10-03 05:00:00,2.399,2.4036,2.3899,2.3977,2888.0
2007-10-04 00:00:00,2007-10-03 21:00:00,2007-10-04 05:00:00,2.3976,2.4026,2.3901,2.3961,3026.0
2007-10-05 00:00:00,2007-10-04 21:00:00,2007-10-05 05:00:00,2.3962,2.4073,2.391,2.4061,2602.0
2007-10-08 00:00:00,2007-10-07 21:00:00,2007-10-08 05:00:00,2.4028,2.416,2.4023,2.4143,2234.0
2007-10-09 00:00:00,2007-10-08 21:00:00,2007-10-09 05:00:00,2.4145,2.4156,2.4036,2.4135,2818.0
2007-10-10 00:00:00,2007-10-09 21:00:00,2007-10-10 05:00:00,2.4133,2.4206,2.4082,2.4119,2884.0
2007-10-11 00:00:00,2007-10-10 21:00:00,2007-10-11 05:00:00,2.4117,2.4142,2.3993,2.4009,3716.0
2007-10-12 00:00:00,2007-10-11 21:00:00,2007-10-12 05:00:00,2.401,2.4131,2.3921,2.4118,3280.0
2007-10-15 00:00:00,2007-10-14 21:00:00,2007-10-15 05:00:00,2.4084,2.4133,2.3998,2.4108,2856.0
2007-10-16 00:00:00,2007-10-15 21:00:00,2007-10-16 05:00:00,2.4107,2.4121,2.4002,2.4013,3468.0
2007-10-17 00:00:00,2007-10-16 21:00:00,2007-10-17 05:00:00,2.4014,2.4113,2.3924,2.405,3758.0
2007-10-18 00:00:00,2007-10-17 21:00:00,2007-10-18 05:00:00,2.4049,2.406,2.389,2.3904,3748.0
2007-10-19 00:00:00,2007-10-18 21:00:00,2007-10-19 05:00:00,2.3903,2.4026,2.3847,2.3924,3238.0
2007-10-22 00:00:00,2007-10-21 21:00:00,2007-10-22 05:00:00,2.3818,2.3947,2.3799,2.3944,4178.0
2007-10-23 00:00:00,2007-10-22 21:00:00,2007-10-23 05:00:00,2.3943,2.4081,2.3877,2.4058,3556.0
2007-10-24 00:00:00,2007-10-23 21:00:00,2007-10-24 05:00:00,2.4057,2.4088,2.3984,2.4023,3486.0
2007-10-25 00:00:00,2007-10-24 21:00:00,2007-10-25 05:00:00,2.4022,2.4022,2.3883,2.3917,3402.0
2007-10-26 00:00:00,2007-10-25 21:00:00,2007-10-26 05:00:00,2.3915,2.3951,2.3828,2.3887,2708.0
2007-10-29 00:00:00,2007-10-28 21:00:00,2007-10-29 05:00:00,2.3886,2.4034,2.3862,2.4,2690.0
2007-10-30 00:00:00,2007-10-29 21:00:00,2007-10-30 05:00:00,2.4022,2.4091,2.3932,2.3952,2930.0
2007-10-31 00:00:00,2007-10-30 21:00:00,2007-10-31 05:00:00,2.394,2.413,2.3937,2.412,3626.0
2007-11-01 00:00:00,2007-10-31 21:00:00,2007-11-01 05:00:00,2.411,2.4196,2.4033,2.4068,3996.0
2007-11-02 00:00:00,2007-11-01 21:00:00,2007-11-02 05:00:00,2.4062,2.412,2.3968,2.4101,3928.0
2007-11-05 00:00:00,2007-11-04 22:00:00,2007-11-05 06:00:00,2.4091,2.4109,2.3936,2.4012,3004.0
2007-11-06 00:00:00,2007-11-05 22:00:00,2007-11-06 06:00:00,2.4003,2.4022,2.3851,2.3888,2974.0
2007-11-07 00:00:00,2007-11-06 22:00:00,2007-11-07 06:00:00,2.3894,2.3899,2.3694,2.3795,4600.0
2007-11-08 00:00:00,2007-11-07 22:00:00,2007-11-08 06:00:00,2.3827,2.3875,2.3691,2.3706,4476.0
2007-11-09 00:00:00,2007-11-08 22:00:00,2007-11-09 06:00:00,2.3765,2.3768,2.3438,2.3457,5214.0
