timestamp_mt5,timestamp_utc,timestamp_tpe,open,high,low,close,volume
2026-06-12 09:00:00,2026-06-12 06:00:00,2026-06-12 14:00:00,214.802,214.969,214.802,214.943,3700.0
2026-06-12 09:15:00,2026-06-12 06:15:00,2026-06-12 14:15:00,214.945,214.947,214.892,214.916,3405.0
2026-06-12 09:30:00,2026-06-12 06:30:00,2026-06-12 14:30:00,214.918,214.935,214.783,214.831,3779.0
2026-06-12 09:45:00,2026-06-12 06:45:00,2026-06-12 14:45:00,214.83,214.938,214.806,214.929,3628.0
2026-06-12 10:00:00,2026-06-12 07:00:00,2026-06-12 15:00:00,214.928,214.949,214.84,214.864,3819.0
2026-06-12 10:15:00,2026-06-12 07:15:00,2026-06-12 15:15:00,214.865,214.871,214.776,214.782,3442.0
2026-06-12 10:30:00,2026-06-12 07:30:00,2026-06-12 15:30:00,214.785,214.81,214.633,214.679,3405.0
2026-06-12 10:45:00,2026-06-12 07:45:00,2026-06-12 15:45:00,214.68,214.744,214.634,214.744,3817.0
2026-06-12 11:00:00,2026-06-12 08:00:00,2026-06-12 16:00:00,214.742,214.795,214.699,214.726,4625.0
2026-06-12 11:15:00,2026-06-12 08:15:00,2026-06-12 16:15:00,214.727,214.784,214.63,214.752,5294.0
2026-06-12 11:30:00,2026-06-12 08:30:00,2026-06-12 16:30:00,214.749,214.844,214.732,214.774,4857.0
2026-06-12 11:45:00,2026-06-12 08:45:00,2026-06-12 16:45:00,214.774,214.816,214.718,214.738,4163.0
2026-06-12 12:00:00,2026-06-12 09:00:00,2026-06-12 17:00:00,214.737,214.749,214.648,214.729,3876.0
2026-06-12 12:15:00,2026-06-12 09:15:00,2026-06-12 17:15:00,214.728,214.834,214.671,214.807,4440.0
2026-06-12 12:30:00,2026-06-12 09:30:00,2026-06-12 17:30:00,214.809,214.812,214.721,214.768,3518.0
2026-06-12 12:45:00,2026-06-12 09:45:00,2026-06-12 17:45:00,214.767,214.832,214.744,214.812,3503.0
2026-06-12 13:00:00,2026-06-12 10:00:00,2026-06-12 18:00:00,214.811,214.841,214.739,214.758,3377.0
2026-06-12 13:15:00,2026-06-12 10:15:00,2026-06-12 18:15:00,214.756,214.819,214.726,214.771,3877.0
2026-06-12 13:30:00,2026-06-12 10:30:00,2026-06-12 18:30:00,214.77,214.841,214.752,214.777,3603.0
2026-06-12 13:45:00,2026-06-12 10:45:00,2026-06-12 18:45:00,214.778,214.802,214.687,214.696,3359.0
2026-06-12 14:00:00,2026-06-12 11:00:00,2026-06-12 19:00:00,214.699,214.848,214.696,214.835,3332.0
2026-06-12 14:15:00,2026-06-12 11:15:00,2026-06-12 19:15:00,214.836,214.857,214.817,214.826,3345.0
2026-06-12 14:30:00,2026-06-12 11:30:00,2026-06-12 19:30:00,214.826,214.854,214.796,214.826,2892.0
2026-06-12 14:45:00,2026-06-12 11:45:00,2026-06-12 19:45:00,214.825,214.854,214.766,214.776,2898.0
2026-06-12 15:00:00,2026-06-12 12:00:00,2026-06-12 20:00:00,214.776,214.79,214.67,214.689,3790.0
2026-06-12 15:15:00,2026-06-12 12:15:00,2026-06-12 20:15:00,214.685,214.691,214.565,214.568,3444.0
2026-06-12 15:30:00,2026-06-12 12:30:00,2026-06-12 20:30:00,214.57,214.715,214.568,214.673,3740.0
2026-06-12 15:45:00,2026-06-12 12:45:00,2026-06-12 20:45:00,214.674,214.715,214.621,214.636,3819.0
2026-06-12 16:00:00,2026-06-12 13:00:00,2026-06-12 21:00:00,214.64,214.717,214.6,214.684,4195.0
2026-06-12 16:15:00,2026-06-12 13:15:00,2026-06-12 21:15:00,214.684,214.824,214.667,214.807,4080.0
2026-06-12 16:30:00,2026-06-12 13:30:00,2026-06-12 21:30:00,214.809,214.894,214.752,214.763,5195.0
2026-06-12 16:45:00,2026-06-12 13:45:00,2026-06-12 21:45:00,214.762,214.836,214.762,214.772,4555.0
2026-06-12 17:00:00,2026-06-12 14:00:00,2026-06-12 22:00:00,214.769,214.904,214.749,214.827,5058.0
2026-06-12 17:15:00,2026-06-12 14:15:00,2026-06-12 22:15:00,214.826,214.84,214.71,214.712,4711.0
2026-06-12 17:30:00,2026-06-12 14:30:00,2026-06-12 22:30:00,214.712,214.801,214.71,214.764,4600.0
2026-06-12 17:45:00,2026-06-12 14:45:00,2026-06-12 22:45:00,214.765,214.983,214.696,214.941,5433.0
2026-06-12 18:00:00,2026-06-12 15:00:00,2026-06-12 23:00:00,214.94,214.959,214.875,214.892,5182.0
2026-06-12 18:15:00,2026-06-12 15:15:00,2026-06-12 23:15:00,214.893,215.021,214.873,215.021,4361.0
2026-06-12 18:30:00,2026-06-12 15:30:00,2026-06-12 23:30:00,215.02,215.025,214.826,214.869,4683.0
2026-06-12 18:45:00,2026-06-12 15:45:00,2026-06-12 23:45:00,214.87,214.987,214.866,214.938,4142.0
2026-06-12 19:00:00,2026-06-12 16:00:00,2026-06-13 00:00:00,214.937,214.975,214.86,214.871,4509.0
2026-06-12 19:15:00,2026-06-12 16:15:00,2026-06-13 00:15:00,214.874,214.912,214.826,214.9,4390.0
2026-06-12 19:30:00,2026-06-12 16:30:00,2026-06-13 00:30:00,214.899,214.955,214.878,214.909,3758.0
2026-06-12 19:45:00,2026-06-12 16:45:00,2026-06-13 00:45:00,214.91,214.973,214.903,214.958,3463.0
2026-06-12 20:00:00,2026-06-12 17:00:00,2026-06-13 01:00:00,214.957,215.016,214.93,214.947,3494.0
2026-06-12 20:15:00,2026-06-12 17:15:00,2026-06-13 01:15:00,214.949,214.965,214.923,214.943,3287.0
2026-06-12 20:30:00,2026-06-12 17:30:00,2026-06-13 01:30:00,214.942,214.961,214.907,214.934,3274.0
2026-06-12 20:45:00,2026-06-12 17:45:00,2026-06-13 01:45:00,214.933,214.959,214.922,214.932,2949.0
2026-06-12 21:00:00,2026-06-12 18:00:00,2026-06-13 02:00:00,214.932,214.954,214.891,214.926,3282.0
2026-06-12 21:15:00,2026-06-12 18:15:00,2026-06-13 02:15:00,214.925,214.966,214.906,214.965,3197.0
2026-06-12 21:30:00,2026-06-12 18:30:00,2026-06-13 02:30:00,214.964,215.006,214.964,214.985,2702.0
2026-06-12 21:45:00,2026-06-12 18:45:00,2026-06-13 02:45:00,214.987,214.999,214.947,214.969,2560.0
2026-06-12 22:00:00,2026-06-12 19:00:00,2026-06-13 03:00:00,214.968,214.991,214.945,214.963,2366.0
2026-06-12 22:15:00,2026-06-12 19:15:00,2026-06-13 03:15:00,214.964,214.986,214.947,214.985,2650.0
2026-06-12 22:30:00,2026-06-12 19:30:00,2026-06-13 03:30:00,214.985,214.991,214.895,214.899,3083.0
2026-06-12 22:45:00,2026-06-12 19:45:00,2026-06-13 03:45:00,214.9,214.914,214.832,214.851,2862.0
2026-06-12 23:00:00,2026-06-12 20:00:00,2026-06-13 04:00:00,214.852,214.868,214.804,214.812,2311.0
2026-06-12 23:15:00,2026-06-12 20:15:00,2026-06-13 04:15:00,214.812,214.833,214.751,214.754,1288.0
2026-06-12 23:30:00,2026-06-12 20:30:00,2026-06-13 04:30:00,214.75,214.762,214.737,214.743,1173.0
2026-06-12 23:45:00,2026-06-12 20:45:00,2026-06-13 04:45:00,214.745,214.76,214.718,214.732,1397.0
2026-06-15 00:00:00,2026-06-14 21:00:00,2026-06-15 05:00:00,214.565,214.613,214.536,214.578,94.0
2026-06-15 00:15:00,2026-06-14 21:15:00,2026-06-15 05:15:00,214.582,214.582,214.415,214.415,329.0
2026-06-15 00:30:00,2026-06-14 21:30:00,2026-06-15 05:30:00,214.335,214.466,214.241,214.439,408.0
2026-06-15 00:45:00,2026-06-14 21:45:00,2026-06-15 05:45:00,214.495,214.644,214.395,214.473,789.0
2026-06-15 01:00:00,2026-06-14 22:00:00,2026-06-15 06:00:00,214.494,214.983,214.472,214.961,3993.0
2026-06-15 01:15:00,2026-06-14 22:15:00,2026-06-15 06:15:00,214.959,215.062,214.915,215.049,3294.0
2026-06-15 01:30:00,2026-06-14 22:30:00,2026-06-15 06:30:00,215.05,215.097,215.029,215.062,3064.0
2026-06-15 01:45:00,2026-06-14 22:45:00,2026-06-15 06:45:00,215.063,215.156,215.053,215.151,2428.0
2026-06-15 02:00:00,2026-06-14 23:00:00,2026-06-15 07:00:00,215.145,215.151,215.043,215.105,2534.0
2026-06-15 02:15:00,2026-06-14 23:15:00,2026-06-15 07:15:00,215.104,215.109,215.039,215.085,2048.0
2026-06-15 02:30:00,2026-06-14 23:30:00,2026-06-15 07:30:00,215.084,215.125,215.057,215.122,1815.0
2026-06-15 02:45:00,2026-06-14 23:45:00,2026-06-15 07:45:00,215.123,215.168,215.098,215.139,2820.0
2026-06-15 03:00:00,2026-06-15 00:00:00,2026-06-15 08:00:00,215.134,215.253,215.121,215.217,3491.0
2026-06-15 03:15:00,2026-06-15 00:15:00,2026-06-15 08:15:00,215.215,215.301,215.186,215.228,3626.0
2026-06-15 03:30:00,2026-06-15 00:30:00,2026-06-15 08:30:00,215.227,215.278,215.204,215.222,2723.0
