timestamp_mt5,timestamp_utc,timestamp_tpe,open,high,low,close,volume
2011-02-08 00:00:00,2011-02-07 22:00:00,2011-02-08 06:00:00,132.065,132.568,131.547,132.224,24078.0
2011-02-09 00:00:00,2011-02-08 22:00:00,2011-02-09 06:00:00,132.22,132.984,132.091,132.57,30656.0
2011-02-10 00:00:00,2011-02-09 22:00:00,2011-02-10 06:00:00,132.583,134.234,132.448,134.069,34738.0
2011-02-11 00:00:00,2011-02-10 22:00:00,2011-02-11 06:00:00,134.062,134.208,133.238,133.511,31620.0
2011-02-14 00:00:00,2011-02-13 22:00:00,2011-02-14 06:00:00,133.512,133.756,133.161,133.507,31988.0
2011-02-15 00:00:00,2011-02-14 22:00:00,2011-02-15 06:00:00,133.509,135.436,133.497,135.055,37696.0
2011-02-16 00:00:00,2011-02-15 22:00:00,2011-02-16 06:00:00,135.009,135.448,134.167,134.559,39406.0
2011-02-17 00:00:00,2011-02-16 22:00:00,2011-02-17 06:00:00,134.577,134.954,134.339,134.721,33476.0
2011-02-18 00:00:00,2011-02-17 22:00:00,2011-02-18 06:00:00,134.722,135.495,134.429,135.165,31012.0
2011-02-21 00:00:00,2011-02-20 22:00:00,2011-02-21 06:00:00,134.983,135.446,134.682,134.878,16812.0
2011-02-22 00:00:00,2011-02-21 22:00:00,2011-02-22 06:00:00,134.866,134.884,133.24,133.589,41080.0
2011-02-23 00:00:00,2011-02-22 22:00:00,2011-02-23 06:00:00,133.617,134.629,133.353,133.621,38966.0
2011-02-24 00:00:00,2011-02-23 22:00:00,2011-02-24 06:00:00,133.613,133.853,131.479,132.181,39736.0
2011-02-25 00:00:00,2011-02-24 22:00:00,2011-02-25 06:00:00,132.17,132.46,131.101,131.625,31992.0
2011-02-28 00:00:00,2011-02-27 22:00:00,2011-02-28 06:00:00,131.35,133.305,131.249,132.972,31920.0
2011-03-01 00:00:00,2011-02-28 22:00:00,2011-03-01 06:00:00,132.982,134.121,132.924,133.198,31752.0
2011-03-02 00:00:00,2011-03-01 22:00:00,2011-03-02 06:00:00,133.193,133.749,132.805,133.545,26572.0
2011-03-03 00:00:00,2011-03-02 22:00:00,2011-03-03 06:00:00,133.545,134.188,132.917,134.107,28154.0
2011-03-04 00:00:00,2011-03-03 22:00:00,2011-03-04 06:00:00,134.085,135.203,133.631,133.854,27276.0
2011-03-07 00:00:00,2011-03-06 22:00:00,2011-03-07 06:00:00,133.786,134.06,132.904,133.358,25938.0
2011-03-08 00:00:00,2011-03-07 22:00:00,2011-03-08 06:00:00,133.367,133.778,133.1,133.6,24692.0
2011-03-09 00:00:00,2011-03-08 22:00:00,2011-03-09 06:00:00,133.602,134.273,133.597,134.076,28638.0
2011-03-10 00:00:00,2011-03-09 22:00:00,2011-03-10 06:00:00,134.078,134.338,132.907,133.149,32450.0
2011-03-11 00:00:00,2011-03-10 22:00:00,2011-03-11 06:00:00,133.15,133.717,130.852,131.579,35472.0
2011-03-14 00:00:00,2011-03-13 21:00:00,2011-03-14 05:00:00,131.409,132.381,129.621,132.072,39870.0
2011-03-15 00:00:00,2011-03-14 21:00:00,2011-03-15 05:00:00,132.078,132.537,129.166,129.846,45510.0
