timestamp_mt5,timestamp_utc,timestamp_tpe,open,high,low,close,volume
2007-06-08 00:00:00,2007-06-07 21:00:00,2007-06-08 05:00:00,1.2256,1.2365,1.2251,1.235,1016.0
2007-06-11 00:00:00,2007-06-10 21:00:00,2007-06-11 05:00:00,1.2366,1.24,1.2357,1.2378,842.0
2007-06-12 00:00:00,2007-06-11 21:00:00,2007-06-12 05:00:00,1.2377,1.2435,1.2372,1.2434,812.0
2007-06-13 00:00:00,2007-06-12 21:00:00,2007-06-13 05:00:00,1.2433,1.2468,1.242,1.2445,1142.0
2007-06-14 00:00:00,2007-06-13 21:00:00,2007-06-14 05:00:00,1.2446,1.2476,1.2432,1.2455,926.0
2007-06-15 00:00:00,2007-06-14 21:00:00,2007-06-15 05:00:00,1.2454,1.2462,1.2411,1.2412,818.0
2007-06-18 00:00:00,2007-06-17 21:00:00,2007-06-18 05:00:00,1.2415,1.2423,1.2387,1.2405,576.0
2007-06-19 00:00:00,2007-06-18 21:00:00,2007-06-19 05:00:00,1.2406,1.2426,1.2392,1.2395,714.0
2007-06-20 00:00:00,2007-06-19 21:00:00,2007-06-20 05:00:00,1.2394,1.2404,1.2354,1.2392,890.0
2007-06-21 00:00:00,2007-06-20 21:00:00,2007-06-21 05:00:00,1.2391,1.2425,1.2387,1.2417,854.0
2007-06-22 00:00:00,2007-06-21 21:00:00,2007-06-22 05:00:00,1.2418,1.2422,1.2285,1.2293,1056.0
2007-06-25 00:00:00,2007-06-24 21:00:00,2007-06-25 05:00:00,1.2279,1.2311,1.2271,1.2278,896.0
2007-06-26 00:00:00,2007-06-25 21:00:00,2007-06-26 05:00:00,1.2279,1.2307,1.226,1.2281,1000.0
2007-06-27 00:00:00,2007-06-26 21:00:00,2007-06-27 05:00:00,1.2283,1.2303,1.2273,1.2293,988.0
2007-06-28 00:00:00,2007-06-27 21:00:00,2007-06-28 05:00:00,1.2292,1.2341,1.2267,1.232,1056.0
2007-06-29 00:00:00,2007-06-28 21:00:00,2007-06-29 05:00:00,1.2321,1.2333,1.2208,1.2214,1122.0
2007-07-02 00:00:00,2007-07-01 21:00:00,2007-07-02 05:00:00,1.2222,1.2227,1.2089,1.2103,1116.0
2007-07-03 00:00:00,2007-07-02 21:00:00,2007-07-03 05:00:00,1.2104,1.2177,1.2098,1.2158,850.0
2007-07-04 00:00:00,2007-07-03 21:00:00,2007-07-04 05:00:00,1.2157,1.2172,1.2144,1.2169,458.0
2007-07-05 00:00:00,2007-07-04 21:00:00,2007-07-05 05:00:00,1.217,1.2197,1.2101,1.2176,1050.0
2007-07-06 00:00:00,2007-07-05 21:00:00,2007-07-06 05:00:00,1.2177,1.2232,1.216,1.2178,978.0
2007-07-09 00:00:00,2007-07-08 21:00:00,2007-07-09 05:00:00,1.2185,1.2192,1.2153,1.2164,672.0
2007-07-10 00:00:00,2007-07-09 21:00:00,2007-07-10 05:00:00,1.2165,1.2194,1.2,1.2027,1420.0
2007-07-11 00:00:00,2007-07-10 21:00:00,2007-07-11 05:00:00,1.2026,1.2066,1.1992,1.2049,1370.0
2007-07-12 00:00:00,2007-07-11 21:00:00,2007-07-12 05:00:00,1.205,1.2052,1.2004,1.2036,1134.0
2007-07-13 00:00:00,2007-07-12 21:00:00,2007-07-13 05:00:00,1.2035,1.2053,1.1984,1.2025,1010.0
2007-07-16 00:00:00,2007-07-15 21:00:00,2007-07-16 05:00:00,1.2031,1.2038,1.1992,1.2026,832.0
2007-07-17 00:00:00,2007-07-16 21:00:00,2007-07-17 05:00:00,1.2025,1.2034,1.197,1.1981,1188.0
2007-07-18 00:00:00,2007-07-17 21:00:00,2007-07-18 05:00:00,1.1982,1.2049,1.196,1.2004,1342.0
2007-07-19 00:00:00,2007-07-18 21:00:00,2007-07-19 05:00:00,1.2003,1.2051,1.1987,1.2036,1096.0
2007-07-20 00:00:00,2007-07-19 21:00:00,2007-07-20 05:00:00,1.2035,1.2065,1.1982,1.2007,1124.0
2007-07-23 00:00:00,2007-07-22 21:00:00,2007-07-23 05:00:00,1.1999,1.2078,1.1982,1.2031,1076.0
2007-07-24 00:00:00,2007-07-23 21:00:00,2007-07-24 05:00:00,1.2032,1.2076,1.2011,1.2044,1158.0
2007-07-25 00:00:00,2007-07-24 21:00:00,2007-07-25 05:00:00,1.2045,1.2164,1.2031,1.2138,1488.0
2007-07-26 00:00:00,2007-07-25 21:00:00,2007-07-26 05:00:00,1.2139,1.2148,1.202,1.2042,1678.0
2007-07-27 00:00:00,2007-07-26 21:00:00,2007-07-27 05:00:00,1.2041,1.2131,1.2026,1.2083,1820.0
2007-07-30 00:00:00,2007-07-29 21:00:00,2007-07-30 05:00:00,1.2071,1.2077,1.2007,1.2016,1464.0
2007-07-31 00:00:00,2007-07-30 21:00:00,2007-07-31 05:00:00,1.2017,1.2065,1.2005,1.2025,1420.0
2007-08-01 00:00:00,2007-07-31 21:00:00,2007-08-01 05:00:00,1.2024,1.2048,1.1979,1.204,1760.0
2007-08-02 00:00:00,2007-08-01 21:00:00,2007-08-02 05:00:00,1.2041,1.2082,1.2024,1.2031,1356.0
2007-08-03 00:00:00,2007-08-02 21:00:00,2007-08-03 05:00:00,1.2032,1.207,1.1867,1.1906,1390.0
2007-08-06 00:00:00,2007-08-05 21:00:00,2007-08-06 05:00:00,1.1845,1.1924,1.1822,1.1895,1530.0
2007-08-07 00:00:00,2007-08-06 21:00:00,2007-08-07 05:00:00,1.1894,1.1984,1.1893,1.1964,1312.0
2007-08-08 00:00:00,2007-08-07 21:00:00,2007-08-08 05:00:00,1.1965,1.1994,1.1912,1.1958,1452.0
2007-08-09 00:00:00,2007-08-08 21:00:00,2007-08-09 05:00:00,1.1959,1.1993,1.1919,1.1967,1794.0
2007-08-10 00:00:00,2007-08-09 21:00:00,2007-08-10 05:00:00,1.1966,1.2016,1.193,1.1986,1938.0
2007-08-13 00:00:00,2007-08-12 21:00:00,2007-08-13 05:00:00,1.1983,1.2067,1.1978,1.2043,1504.0
2007-08-14 00:00:00,2007-08-13 21:00:00,2007-08-14 05:00:00,1.2042,1.2117,1.2029,1.2116,1604.0
2007-08-15 00:00:00,2007-08-14 21:00:00,2007-08-15 05:00:00,1.2115,1.2208,1.2108,1.2206,1718.0
2007-08-16 00:00:00,2007-08-15 21:00:00,2007-08-16 05:00:00,1.2205,1.2213,1.2131,1.2162,2462.0
2007-08-17 00:00:00,2007-08-16 21:00:00,2007-08-17 05:00:00,1.2163,1.2174,1.1994,1.2079,2104.0
2007-08-20 00:00:00,2007-08-19 21:00:00,2007-08-20 05:00:00,1.2068,1.2089,1.205,1.2061,1430.0
2007-08-21 00:00:00,2007-08-20 21:00:00,2007-08-21 05:00:00,1.206,1.2071,1.2011,1.2063,1608.0
2007-08-22 00:00:00,2007-08-21 21:00:00,2007-08-22 05:00:00,1.2064,1.211,1.204,1.2061,1434.0
2007-08-23 00:00:00,2007-08-22 21:00:00,2007-08-23 05:00:00,1.2062,1.2104,1.2047,1.2076,1416.0
2007-08-24 00:00:00,2007-08-23 21:00:00,2007-08-24 05:00:00,1.2075,1.2078,1.1992,1.2005,1296.0
2007-08-27 00:00:00,2007-08-26 21:00:00,2007-08-27 05:00:00,1.1999,1.2045,1.1999,1.2027,836.0
2007-08-28 00:00:00,2007-08-27 21:00:00,2007-08-28 05:00:00,1.2026,1.204,1.1961,1.2025,1388.0
2007-08-29 00:00:00,2007-08-28 21:00:00,2007-08-29 05:00:00,1.2026,1.2038,1.1982,1.2008,1402.0
2007-08-30 00:00:00,2007-08-29 21:00:00,2007-08-30 05:00:00,1.2009,1.2066,1.1988,1.2021,1492.0
2007-08-31 00:00:00,2007-08-30 21:00:00,2007-08-31 05:00:00,1.2022,1.2088,1.1987,1.2082,1542.0
2007-09-03 00:00:00,2007-09-02 21:00:00,2007-09-03 05:00:00,1.2069,1.21,1.2061,1.2087,782.0
2007-09-04 00:00:00,2007-09-03 21:00:00,2007-09-04 05:00:00,1.2086,1.215,1.2075,1.2106,1314.0
2007-09-05 00:00:00,2007-09-04 21:00:00,2007-09-05 05:00:00,1.2105,1.2137,1.2017,1.2045,1480.0
2007-09-06 00:00:00,2007-09-05 21:00:00,2007-09-06 05:00:00,1.2044,1.2061,1.1993,1.2016,1386.0
2007-09-07 00:00:00,2007-09-06 21:00:00,2007-09-07 05:00:00,1.2014,1.2025,1.1861,1.1884,1368.0
2007-09-10 00:00:00,2007-09-09 21:00:00,2007-09-10 05:00:00,1.1854,1.1879,1.184,1.1871,1446.0
2007-09-11 00:00:00,2007-09-10 21:00:00,2007-09-11 05:00:00,1.187,1.1898,1.1837,1.1893,1458.0
2007-09-12 00:00:00,2007-09-11 21:00:00,2007-09-12 05:00:00,1.1891,1.1895,1.1816,1.1852,1398.0
2007-09-13 00:00:00,2007-09-12 21:00:00,2007-09-13 05:00:00,1.1851,1.1889,1.1801,1.1849,1520.0
2007-09-14 00:00:00,2007-09-13 21:00:00,2007-09-14 05:00:00,1.185,1.1922,1.1837,1.1894,1300.0
2007-09-17 00:00:00,2007-09-16 21:00:00,2007-09-17 05:00:00,1.1883,1.1888,1.1845,1.1868,1194.0
2007-09-18 00:00:00,2007-09-17 21:00:00,2007-09-18 05:00:00,1.1867,1.1892,1.1793,1.1823,1460.0
2007-09-19 00:00:00,2007-09-18 21:00:00,2007-09-19 05:00:00,1.1824,1.1876,1.1793,1.1821,1460.0
2007-09-20 00:00:00,2007-09-19 21:00:00,2007-09-20 05:00:00,1.1823,1.1825,1.1683,1.1716,1720.0
2007-09-21 00:00:00,2007-09-20 21:00:00,2007-09-21 05:00:00,1.1714,1.1769,1.1675,1.1724,1272.0
2007-09-24 00:00:00,2007-09-23 21:00:00,2007-09-24 05:00:00,1.1711,1.1754,1.1684,1.1729,1162.0
2007-09-25 00:00:00,2007-09-24 21:00:00,2007-09-25 05:00:00,1.173,1.1743,1.1635,1.1659,1246.0
2007-09-26 00:00:00,2007-09-25 21:00:00,2007-09-26 05:00:00,1.166,1.1717,1.1651,1.1698,1220.0
