timestamp_mt5,timestamp_utc,timestamp_tpe,open,high,low,close,volume
2026-07-31 02:35:00,2026-07-30 23:35:00,2026-07-31 07:35:00,159.974,160.161,159.963,160.138,1121.0
2026-07-31 02:40:00,2026-07-30 23:40:00,2026-07-31 07:40:00,160.137,160.192,160.069,160.19,1064.0
2026-07-31 02:45:00,2026-07-30 23:45:00,2026-07-31 07:45:00,160.175,160.194,160.138,160.165,771.0
2026-07-31 02:50:00,2026-07-30 23:50:00,2026-07-31 07:50:00,160.164,160.191,160.126,160.181,813.0
2026-07-31 02:55:00,2026-07-30 23:55:00,2026-07-31 07:55:00,160.179,160.205,160.136,160.19,1063.0
2026-07-31 03:00:00,2026-07-31 00:00:00,2026-07-31 08:00:00,160.183,160.255,160.164,160.228,1489.0
2026-07-31 03:05:00,2026-07-31 00:05:00,2026-07-31 08:05:00,160.227,160.405,160.223,160.312,1499.0
2026-07-31 03:10:00,2026-07-31 00:10:00,2026-07-31 08:10:00,160.313,160.346,160.221,160.314,1479.0
2026-07-31 03:15:00,2026-07-31 00:15:00,2026-07-31 08:15:00,160.315,160.36,160.218,160.238,1568.0
2026-07-31 03:20:00,2026-07-31 00:20:00,2026-07-31 08:20:00,160.239,160.289,160.143,160.202,1363.0
2026-07-31 03:25:00,2026-07-31 00:25:00,2026-07-31 08:25:00,160.199,160.288,160.199,160.267,1272.0
2026-07-31 03:30:00,2026-07-31 00:30:00,2026-07-31 08:30:00,160.259,160.383,160.246,160.366,1359.0
2026-07-31 03:35:00,2026-07-31 00:35:00,2026-07-31 08:35:00,160.367,160.522,160.345,160.501,1373.0
2026-07-31 03:40:00,2026-07-31 00:40:00,2026-07-31 08:40:00,160.499,160.545,160.47,160.522,1403.0
2026-07-31 03:45:00,2026-07-31 00:45:00,2026-07-31 08:45:00,160.519,160.648,160.5,160.632,1550.0
2026-07-31 03:50:00,2026-07-31 00:50:00,2026-07-31 08:50:00,160.631,160.687,160.498,160.642,1805.0
2026-07-31 03:55:00,2026-07-31 00:55:00,2026-07-31 08:55:00,160.641,160.641,160.432,160.541,1757.0
2026-07-31 04:00:00,2026-07-31 01:00:00,2026-07-31 09:00:00,160.536,160.641,160.517,160.571,1494.0
2026-07-31 04:05:00,2026-07-31 01:05:00,2026-07-31 09:05:00,160.572,160.623,160.522,160.564,1558.0
2026-07-31 04:10:00,2026-07-31 01:10:00,2026-07-31 09:10:00,160.565,160.615,160.347,160.488,1620.0
2026-07-31 04:15:00,2026-07-31 01:15:00,2026-07-31 09:15:00,160.487,160.589,160.473,160.508,1920.0
2026-07-31 04:20:00,2026-07-31 01:20:00,2026-07-31 09:20:00,160.506,160.54,160.435,160.492,1487.0
2026-07-31 04:25:00,2026-07-31 01:25:00,2026-07-31 09:25:00,160.494,160.509,160.421,160.508,1156.0
2026-07-31 04:30:00,2026-07-31 01:30:00,2026-07-31 09:30:00,160.508,160.558,160.446,160.517,1112.0
2026-07-31 04:35:00,2026-07-31 01:35:00,2026-07-31 09:35:00,160.521,160.597,160.521,160.596,1511.0
2026-07-31 04:40:00,2026-07-31 01:40:00,2026-07-31 09:40:00,160.593,160.619,160.559,160.605,1502.0
2026-07-31 04:45:00,2026-07-31 01:45:00,2026-07-31 09:45:00,160.604,160.666,160.58,160.663,1217.0
2026-07-31 04:50:00,2026-07-31 01:50:00,2026-07-31 09:50:00,160.661,160.722,160.645,160.718,1366.0
2026-07-31 04:55:00,2026-07-31 01:55:00,2026-07-31 09:55:00,160.717,160.747,160.676,160.739,1154.0
2026-07-31 05:00:00,2026-07-31 02:00:00,2026-07-31 10:00:00,160.737,160.737,160.634,160.664,1373.0
2026-07-31 05:05:00,2026-07-31 02:05:00,2026-07-31 10:05:00,160.664,160.667,160.595,160.628,1267.0
2026-07-31 05:10:00,2026-07-31 02:10:00,2026-07-31 10:10:00,160.629,160.637,160.538,160.558,1240.0
2026-07-31 05:15:00,2026-07-31 02:15:00,2026-07-31 10:15:00,160.558,160.617,160.558,160.613,740.0
2026-07-31 05:20:00,2026-07-31 02:20:00,2026-07-31 10:20:00,160.612,160.612,160.504,160.608,992.0
2026-07-31 05:25:00,2026-07-31 02:25:00,2026-07-31 10:25:00,160.607,160.616,160.536,160.6,1084.0
2026-07-31 05:30:00,2026-07-31 02:30:00,2026-07-31 10:30:00,160.607,160.612,160.483,160.516,785.0
2026-07-31 05:35:00,2026-07-31 02:35:00,2026-07-31 10:35:00,160.517,160.564,160.512,160.551,718.0
2026-07-31 05:40:00,2026-07-31 02:40:00,2026-07-31 10:40:00,160.552,160.633,160.55,160.618,812.0
2026-07-31 05:45:00,2026-07-31 02:45:00,2026-07-31 10:45:00,160.619,160.659,160.554,160.558,937.0
2026-07-31 05:50:00,2026-07-31 02:50:00,2026-07-31 10:50:00,160.561,160.578,160.437,160.519,903.0
2026-07-31 05:55:00,2026-07-31 02:55:00,2026-07-31 10:55:00,160.521,160.578,160.488,160.516,1050.0
2026-07-31 06:00:00,2026-07-31 03:00:00,2026-07-31 11:00:00,160.51,160.635,160.475,160.63,1177.0
2026-07-31 06:05:00,2026-07-31 03:05:00,2026-07-31 11:05:00,160.633,160.641,160.562,160.604,1055.0
2026-07-31 06:10:00,2026-07-31 03:10:00,2026-07-31 11:10:00,160.604,160.877,160.592,160.745,1581.0
2026-07-31 06:15:00,2026-07-31 03:15:00,2026-07-31 11:15:00,160.744,160.84,160.713,160.794,1398.0
2026-07-31 06:20:00,2026-07-31 03:20:00,2026-07-31 11:20:00,160.792,160.854,160.773,160.835,1177.0
2026-07-31 06:25:00,2026-07-31 03:25:00,2026-07-31 11:25:00,160.837,160.847,160.773,160.838,1531.0
2026-07-31 06:30:00,2026-07-31 03:30:00,2026-07-31 11:30:00,160.836,160.865,160.689,160.69,1278.0
2026-07-31 06:35:00,2026-07-31 03:35:00,2026-07-31 11:35:00,160.689,160.733,160.649,160.699,1113.0
2026-07-31 06:40:00,2026-07-31 03:40:00,2026-07-31 11:40:00,160.7,160.77,160.68,160.682,1135.0
2026-07-31 06:45:00,2026-07-31 03:45:00,2026-07-31 11:45:00,160.681,160.687,160.498,160.654,1037.0
2026-07-31 06:50:00,2026-07-31 03:50:00,2026-07-31 11:50:00,160.655,160.693,160.609,160.686,1220.0
2026-07-31 06:55:00,2026-07-31 03:55:00,2026-07-31 11:55:00,160.684,160.684,160.584,160.613,968.0
2026-07-31 07:00:00,2026-07-31 04:00:00,2026-07-31 12:00:00,160.615,160.626,160.564,160.602,1052.0
2026-07-31 07:05:00,2026-07-31 04:05:00,2026-07-31 12:05:00,160.601,160.684,160.582,160.652,976.0
2026-07-31 07:10:00,2026-07-31 04:10:00,2026-07-31 12:10:00,160.643,160.694,160.629,160.687,1184.0
2026-07-31 07:15:00,2026-07-31 04:15:00,2026-07-31 12:15:00,160.686,160.747,160.673,160.696,1527.0
2026-07-31 07:20:00,2026-07-31 04:20:00,2026-07-31 12:20:00,160.7,160.718,160.639,160.693,1309.0
2026-07-31 07:25:00,2026-07-31 04:25:00,2026-07-31 12:25:00,160.692,160.747,160.665,160.732,1186.0
2026-07-31 07:30:00,2026-07-31 04:30:00,2026-07-31 12:30:00,160.733,160.734,160.693,160.714,1369.0
2026-07-31 07:35:00,2026-07-31 04:35:00,2026-07-31 12:35:00,160.712,160.757,160.701,160.744,1193.0
2026-07-31 07:40:00,2026-07-31 04:40:00,2026-07-31 12:40:00,160.743,160.75,160.699,160.71,1111.0
2026-07-31 07:45:00,2026-07-31 04:45:00,2026-07-31 12:45:00,160.712,160.803,160.707,160.797,913.0
2026-07-31 07:50:00,2026-07-31 04:50:00,2026-07-31 12:50:00,160.793,160.812,160.674,160.687,733.0
2026-07-31 07:55:00,2026-07-31 04:55:00,2026-07-31 12:55:00,160.687,160.728,160.666,160.684,991.0
2026-07-31 08:00:00,2026-07-31 05:00:00,2026-07-31 13:00:00,160.682,160.704,160.623,160.655,1216.0
2026-07-31 08:05:00,2026-07-31 05:05:00,2026-07-31 13:05:00,160.658,160.679,160.591,160.635,1358.0
2026-07-31 08:10:00,2026-07-31 05:10:00,2026-07-31 13:10:00,160.635,160.679,160.603,160.668,1104.0
2026-07-31 08:15:00,2026-07-31 05:15:00,2026-07-31 13:15:00,160.668,160.67,160.589,160.619,835.0
2026-07-31 08:20:00,2026-07-31 05:20:00,2026-07-31 13:20:00,160.62,160.695,160.619,160.684,1145.0
2026-07-31 08:25:00,2026-07-31 05:25:00,2026-07-31 13:25:00,160.684,160.745,160.68,160.741,1062.0
2026-07-31 08:30:00,2026-07-31 05:30:00,2026-07-31 13:30:00,160.734,160.749,160.546,160.656,1379.0
2026-07-31 08:35:00,2026-07-31 05:35:00,2026-07-31 13:35:00,160.657,160.694,160.617,160.671,1410.0
2026-07-31 08:40:00,2026-07-31 05:40:00,2026-07-31 13:40:00,160.67,160.691,160.624,160.678,1577.0
2026-07-31 08:45:00,2026-07-31 05:45:00,2026-07-31 13:45:00,160.679,160.703,160.668,160.686,1460.0
2026-07-31 08:50:00,2026-07-31 05:50:00,2026-07-31 13:50:00,160.687,160.694,160.628,160.64,1211.0
2026-07-31 08:55:00,2026-07-31 05:55:00,2026-07-31 13:55:00,160.639,160.65,160.564,160.601,998.0
2026-07-31 09:00:00,2026-07-31 06:00:00,2026-07-31 14:00:00,160.601,160.611,160.49,160.495,1287.0
2026-07-31 09:05:00,2026-07-31 06:05:00,2026-07-31 14:05:00,160.496,160.529,160.323,160.387,1615.0
2026-07-31 09:10:00,2026-07-31 06:10:00,2026-07-31 14:10:00,160.388,160.454,160.37,160.379,1425.0
2026-07-31 09:15:00,2026-07-31 06:15:00,2026-07-31 14:15:00,160.38,160.466,160.378,160.45,1415.0
2026-07-31 09:20:00,2026-07-31 06:20:00,2026-07-31 14:20:00,160.45,160.536,160.388,160.389,1553.0
2026-07-31 09:25:00,2026-07-31 06:25:00,2026-07-31 14:25:00,160.39,160.415,160.225,160.333,1804.0
2026-07-31 09:30:00,2026-07-31 06:30:00,2026-07-31 14:30:00,160.337,160.53,160.337,160.504,1801.0
2026-07-31 09:35:00,2026-07-31 06:35:00,2026-07-31 14:35:00,160.502,160.504,160.345,160.402,1656.0
2026-07-31 09:40:00,2026-07-31 06:40:00,2026-07-31 14:40:00,160.401,160.537,160.392,160.477,1705.0
2026-07-31 09:45:00,2026-07-31 06:45:00,2026-07-31 14:45:00,160.47,160.476,160.217,160.28,1534.0
2026-07-31 09:50:00,2026-07-31 06:50:00,2026-07-31 14:50:00,160.29,160.298,159.938,160.113,1951.0
2026-07-31 09:55:00,2026-07-31 06:55:00,2026-07-31 14:55:00,160.117,160.29,160.068,160.29,1545.0
2026-07-31 10:00:00,2026-07-31 07:00:00,2026-07-31 15:00:00,160.293,160.419,160.29,160.407,1397.0
2026-07-31 10:05:00,2026-07-31 07:05:00,2026-07-31 15:05:00,160.407,160.443,160.381,160.431,1578.0
2026-07-31 10:10:00,2026-07-31 07:10:00,2026-07-31 15:10:00,160.425,160.437,160.34,160.354,1522.0
2026-07-31 10:15:00,2026-07-31 07:15:00,2026-07-31 15:15:00,160.356,160.424,160.281,160.369,1786.0
2026-07-31 10:20:00,2026-07-31 07:20:00,2026-07-31 15:20:00,160.368,160.514,160.368,160.462,1313.0
2026-07-31 10:25:00,2026-07-31 07:25:00,2026-07-31 15:25:00,160.461,160.508,160.45,160.493,1108.0
2026-07-31 10:30:00,2026-07-31 07:30:00,2026-07-31 15:30:00,160.496,160.617,160.494,160.558,1344.0
2026-07-31 10:35:00,2026-07-31 07:35:00,2026-07-31 15:35:00,160.559,160.591,160.529,160.554,1151.0
2026-07-31 10:40:00,2026-07-31 07:40:00,2026-07-31 15:40:00,160.553,160.645,160.541,160.576,1149.0
2026-07-31 10:45:00,2026-07-31 07:45:00,2026-07-31 15:45:00,160.569,160.605,160.338,160.382,1932.0
2026-07-31 10:50:00,2026-07-31 07:50:00,2026-07-31 15:50:00,160.363,160.433,160.217,160.325,1537.0
2026-07-31 10:55:00,2026-07-31 07:55:00,2026-07-31 15:55:00,160.326,160.392,160.204,160.208,1560.0
2026-07-31 11:00:00,2026-07-31 08:00:00,2026-07-31 16:00:00,160.207,160.322,160.206,160.294,1558.0
2026-07-31 11:05:00,2026-07-31 08:05:00,2026-07-31 16:05:00,160.295,160.44,160.273,160.417,1505.0
2026-07-31 11:10:00,2026-07-31 08:10:00,2026-07-31 16:10:00,160.416,160.512,160.342,160.352,1596.0
2026-07-31 11:15:00,2026-07-31 08:15:00,2026-07-31 16:15:00,160.351,160.364,160.224,160.234,1559.0
2026-07-31 11:20:00,2026-07-31 08:20:00,2026-07-31 16:20:00,160.228,160.305,160.166,160.24,1583.0
2026-07-31 11:25:00,2026-07-31 08:25:00,2026-07-31 16:25:00,160.238,160.291,160.162,160.287,1725.0
2026-07-31 11:30:00,2026-07-31 08:30:00,2026-07-31 16:30:00,160.286,160.298,160.23,160.237,1556.0
2026-07-31 11:35:00,2026-07-31 08:35:00,2026-07-31 16:35:00,160.236,160.236,160.077,160.079,1452.0
2026-07-31 11:40:00,2026-07-31 08:40:00,2026-07-31 16:40:00,160.078,160.083,159.919,160.008,1593.0
2026-07-31 11:45:00,2026-07-31 08:45:00,2026-07-31 16:45:00,160.009,160.056,159.972,160.026,1447.0
2026-07-31 11:50:00,2026-07-31 08:50:00,2026-07-31 16:50:00,160.029,160.15,160.02,160.146,1332.0
2026-07-31 11:55:00,2026-07-31 08:55:00,2026-07-31 16:55:00,160.147,160.158,158.544,158.93,2474.0
2026-07-31 12:00:00,2026-07-31 09:00:00,2026-07-31 17:00:00,158.922,159.132,158.556,159.051,2514.0
2026-07-31 12:05:00,2026-07-31 09:05:00,2026-07-31 17:05:00,159.014,159.295,158.687,159.286,2367.0
2026-07-31 12:10:00,2026-07-31 09:10:00,2026-07-31 17:10:00,159.283,159.64,159.247,159.548,2118.0
2026-07-31 12:15:00,2026-07-31 09:15:00,2026-07-31 17:15:00,159.547,159.618,159.467,159.515,1782.0
2026-07-31 12:20:00,2026-07-31 09:20:00,2026-07-31 17:20:00,159.518,159.775,159.514,159.772,1723.0
2026-07-31 12:25:00,2026-07-31 09:25:00,2026-07-31 17:25:00,159.773,159.866,159.721,159.865,1677.0
2026-07-31 12:30:00,2026-07-31 09:30:00,2026-07-31 17:30:00,159.866,159.911,159.435,159.783,1626.0
2026-07-31 12:35:00,2026-07-31 09:35:00,2026-07-31 17:35:00,159.784,159.943,159.78,159.908,1462.0
2026-07-31 12:40:00,2026-07-31 09:40:00,2026-07-31 17:40:00,159.906,159.957,159.86,159.884,1260.0
2026-07-31 12:45:00,2026-07-31 09:45:00,2026-07-31 17:45:00,159.875,159.94,159.812,159.858,1234.0
2026-07-31 12:50:00,2026-07-31 09:50:00,2026-07-31 17:50:00,159.857,159.938,159.849,159.914,1156.0
2026-07-31 12:55:00,2026-07-31 09:55:00,2026-07-31 17:55:00,159.916,160.087,159.899,160.002,1194.0
2026-07-31 13:00:00,2026-07-31 10:00:00,2026-07-31 18:00:00,160.001,160.046,159.857,160.002,1344.0
2026-07-31 13:05:00,2026-07-31 10:05:00,2026-07-31 18:05:00,160.003,160.003,159.911,159.934,1079.0
2026-07-31 13:10:00,2026-07-31 10:10:00,2026-07-31 18:10:00,159.935,159.973,159.93,159.961,815.0
2026-07-31 13:15:00,2026-07-31 10:15:00,2026-07-31 18:15:00,159.973,160.139,159.972,160.1,1169.0
2026-07-31 13:20:00,2026-07-31 10:20:00,2026-07-31 18:20:00,160.102,160.119,160.039,160.04,1092.0
2026-07-31 13:25:00,2026-07-31 10:25:00,2026-07-31 18:25:00,160.039,160.039,159.948,159.963,1210.0
2026-07-31 13:30:00,2026-07-31 10:30:00,2026-07-31 18:30:00,159.965,160.02,159.945,159.977,1176.0
2026-07-31 13:35:00,2026-07-31 10:35:00,2026-07-31 18:35:00,159.978,160.003,159.949,159.963,991.0
2026-07-31 13:40:00,2026-07-31 10:40:00,2026-07-31 18:40:00,159.963,159.983,159.879,159.979,1037.0
2026-07-31 13:45:00,2026-07-31 10:45:00,2026-07-31 18:45:00,159.981,160.004,159.964,159.975,862.0
