timestamp_mt5,timestamp_utc,timestamp_tpe,open,high,low,close,volume
2007-06-08 00:00:00,2007-06-07 21:00:00,2007-06-08 05:00:00,121.13,121.82,120.76,121.72,1412.0
2007-06-11 00:00:00,2007-06-10 21:00:00,2007-06-11 05:00:00,121.64,121.83,121.51,121.67,830.0
2007-06-12 00:00:00,2007-06-11 21:00:00,2007-06-12 05:00:00,121.66,121.85,121.49,121.65,1000.0
2007-06-13 00:00:00,2007-06-12 21:00:00,2007-06-13 05:00:00,121.66,122.75,121.61,122.65,1288.0
2007-06-14 00:00:00,2007-06-13 21:00:00,2007-06-14 05:00:00,122.67,123.11,122.62,123.03,898.0
2007-06-15 00:00:00,2007-06-14 21:00:00,2007-06-15 05:00:00,123.04,123.66,122.91,123.44,830.0
2007-06-18 00:00:00,2007-06-17 21:00:00,2007-06-18 05:00:00,123.47,123.73,123.31,123.61,866.0
2007-06-19 00:00:00,2007-06-18 21:00:00,2007-06-19 05:00:00,123.62,123.7,123.31,123.35,994.0
2007-06-20 00:00:00,2007-06-19 21:00:00,2007-06-20 05:00:00,123.36,123.66,123.09,123.61,1064.0
2007-06-21 00:00:00,2007-06-20 21:00:00,2007-06-21 05:00:00,123.6,123.88,123.46,123.88,872.0
2007-06-22 00:00:00,2007-06-21 21:00:00,2007-06-22 05:00:00,123.87,124.12,123.75,123.87,898.0
2007-06-25 00:00:00,2007-06-24 21:00:00,2007-06-25 05:00:00,123.86,123.93,123.3,123.36,1052.0
2007-06-26 00:00:00,2007-06-25 21:00:00,2007-06-26 05:00:00,123.37,123.55,122.8,122.97,1450.0
2007-06-27 00:00:00,2007-06-26 21:00:00,2007-06-27 05:00:00,122.98,123.35,122.22,123.0,1734.0
2007-06-28 00:00:00,2007-06-27 21:00:00,2007-06-28 05:00:00,123.01,123.31,122.78,123.21,1248.0
2007-06-29 00:00:00,2007-06-28 21:00:00,2007-06-29 05:00:00,123.2,123.55,122.96,123.17,1262.0
