timestamp_mt5,timestamp_utc,timestamp_tpe,open,high,low,close,volume
2016-04-29 03:00:00,2016-04-29 00:00:00,2016-04-29 08:00:00,93.19,93.47,92.94,92.97,9680.0
2016-05-02 01:00:00,2016-05-01 22:00:00,2016-05-02 06:00:00,93.01,93.02,92.48,92.59,9754.0
2016-05-03 03:00:00,2016-05-03 00:00:00,2016-05-03 08:00:00,92.56,92.92,91.84,92.9,12918.0
2016-05-04 03:00:00,2016-05-04 00:00:00,2016-05-04 08:00:00,92.93,93.32,92.79,93.19,13174.0
2016-05-05 03:00:00,2016-05-05 00:00:00,2016-05-05 08:00:00,93.19,93.82,93.13,93.71,10108.0
2016-05-06 03:00:00,2016-05-06 00:00:00,2016-05-06 08:00:00,93.72,93.92,93.12,93.81,11194.0
2016-05-09 01:00:00,2016-05-08 22:00:00,2016-05-09 06:00:00,93.84,94.15,93.76,94.1,10300.0
2016-05-10 03:00:00,2016-05-10 00:00:00,2016-05-10 08:00:00,94.08,94.29,93.97,94.2,10088.0
2016-05-11 03:00:00,2016-05-11 00:00:00,2016-05-11 08:00:00,94.17,94.17,93.61,93.78,8600.0
2016-05-12 03:00:00,2016-05-12 00:00:00,2016-05-12 08:00:00,93.8,94.12,93.74,94.1,9086.0
2016-05-13 03:00:00,2016-05-13 00:00:00,2016-05-13 08:00:00,94.12,94.78,94.06,94.51,9718.0
2016-05-16 01:00:00,2016-05-15 22:00:00,2016-05-16 06:00:00,94.52,94.63,94.34,94.5,7962.0
2016-05-17 03:00:00,2016-05-17 00:00:00,2016-05-17 08:00:00,94.5,94.67,94.28,94.48,8608.0
2016-05-18 03:00:00,2016-05-18 00:00:00,2016-05-18 08:00:00,94.49,95.16,94.47,95.16,11752.0
2016-05-19 03:00:00,2016-05-19 00:00:00,2016-05-19 08:00:00,95.15,95.47,95.09,95.3,11334.0
2016-05-20 03:00:00,2016-05-20 00:00:00,2016-05-20 08:00:00,95.26,95.4,95.1,95.32,2848.0
2016-05-23 01:00:00,2016-05-22 22:00:00,2016-05-23 06:00:00,95.29,95.43,95.07,95.22,8618.0
2016-05-24 03:00:00,2016-05-24 00:00:00,2016-05-24 08:00:00,95.26,95.62,95.16,95.57,9326.0
2016-05-25 03:00:00,2016-05-25 00:00:00,2016-05-25 08:00:00,95.62,95.62,95.28,95.35,8940.0
2016-05-26 03:00:00,2016-05-26 00:00:00,2016-05-26 08:00:00,95.37,95.37,94.89,95.12,9204.0
2016-05-27 03:00:00,2016-05-27 00:00:00,2016-05-27 08:00:00,95.09,95.73,95.03,95.72,8864.0
2016-05-30 01:00:00,2016-05-29 22:00:00,2016-05-30 06:00:00,95.76,95.92,95.63,95.69,5280.0
2016-05-31 03:00:00,2016-05-31 00:00:00,2016-05-31 08:00:00,95.56,95.85,95.42,95.83,9934.0
2016-06-01 03:00:00,2016-06-01 00:00:00,2016-06-01 08:00:00,95.75,95.87,95.3,95.34,10986.0
2016-06-02 03:00:00,2016-06-02 00:00:00,2016-06-02 08:00:00,95.36,95.54,95.11,95.49,11366.0
2016-06-03 03:00:00,2016-06-03 00:00:00,2016-06-03 08:00:00,95.53,95.6,93.93,93.94,14342.0
2016-06-06 01:00:00,2016-06-05 22:00:00,2016-06-06 06:00:00,93.98,94.23,93.7,93.92,11990.0
2016-06-07 03:00:00,2016-06-07 00:00:00,2016-06-07 08:00:00,93.93,94.04,93.71,93.82,9040.0
2016-06-08 03:00:00,2016-06-08 00:00:00,2016-06-08 08:00:00,93.82,93.82,93.37,93.56,8950.0
2016-06-09 03:00:00,2016-06-09 00:00:00,2016-06-09 08:00:00,93.48,94.04,93.39,93.99,9140.0
2016-06-10 03:00:00,2016-06-10 00:00:00,2016-06-10 08:00:00,94.09,94.68,94.01,94.53,6668.0
2016-06-14 03:00:00,2016-06-14 00:00:00,2016-06-14 08:00:00,94.44,95.1,94.35,95.0,11700.0
2016-06-15 03:00:00,2016-06-15 00:00:00,2016-06-15 08:00:00,94.97,95.11,94.37,94.63,14438.0
2016-06-16 03:00:00,2016-06-16 00:00:00,2016-06-16 08:00:00,94.62,95.49,94.22,94.73,18954.0
2016-06-17 03:00:00,2016-06-17 00:00:00,2016-06-17 08:00:00,94.42,94.7,94.13,94.25,13236.0
2016-06-20 01:00:00,2016-06-19 22:00:00,2016-06-20 06:00:00,93.73,93.79,93.51,93.64,14476.0
2016-06-21 03:00:00,2016-06-21 00:00:00,2016-06-21 08:00:00,93.59,94.15,93.43,94.12,14362.0
2016-06-22 03:00:00,2016-06-22 00:00:00,2016-06-22 08:00:00,94.07,94.14,93.46,93.77,17106.0
2016-06-23 03:00:00,2016-06-23 00:00:00,2016-06-23 08:00:00,93.58,93.64,92.99,93.29,23522.0
2016-06-24 03:00:00,2016-06-24 00:00:00,2016-06-24 08:00:00,93.72,96.67,93.69,95.61,59322.0
2016-06-27 01:00:00,2016-06-26 22:00:00,2016-06-27 06:00:00,96.19,96.82,95.89,96.5,31670.0
2016-06-28 03:00:00,2016-06-28 00:00:00,2016-06-28 08:00:00,96.52,96.52,95.88,96.15,22350.0
2016-06-29 03:00:00,2016-06-29 00:00:00,2016-06-29 08:00:00,96.08,96.23,95.58,95.65,21696.0
2016-06-30 03:00:00,2016-06-30 00:00:00,2016-06-30 08:00:00,95.67,96.43,95.48,95.91,27748.0
