Symbol,Timeframe,Strategy,Trades,WinRate,Profit,PF,MDD,EV,Sharpe
EURGBP,M5,Asian Scalper,52,71.2,510.9,3.16,-0.1,9.82,3.11
EURUSD,M5,Asian Scalper,53,73.6,582.0,3.06,-0.06,10.98,3.55
GBPUSD,M5,Asian Scalper,52,75.0,815.0,2.88,-0.11,15.67,3.49
GBPUSD,M15,Asian Scalper,60,70.0,1672.0,2.53,-0.24,27.87,3.08
USDCHF,M5,Asian Scalper,56,73.2,846.1,2.53,-0.15,15.11,2.74
AUDCHF,M5,Asian Scalper,60,71.7,739.8,2.51,-0.13,12.33,2.75
AUDUSD,M5,Asian Scalper,55,80.0,655.0,2.25,-0.22,11.91,2.1
GBPAUD,H1,Asian Scalper,42,76.2,1994.4,2.15,-0.66,47.49,2.17
AUDCHF,H1,Asian Scalper,157,65.6,5000.2,1.78,-1.14,31.85,2.75
GBPCAD,M15,Asian Scalper,51,66.7,627.5,1.54,-0.23,12.3,1.29
EURCAD,M5,Asian Scalper,50,68.0,224.5,1.5,-0.1,4.49,1.08
EURAUD,M5,Asian Scalper,65,84.6,453.8,1.49,-0.26,6.98,1.02
EURNZD,M30,Short Straddle,89,76.4,1973.6,1.45,-1.24,22.18,1.44
EURJPY,M5,Short Straddle,135,83.0,1123.0,1.45,-0.34,8.32,1.25
EURGBP,M5,Short Straddle,88,67.0,553.2,1.4,-0.54,6.29,1.19
GBPJPY,M5,Short Straddle,138,84.8,914.7,1.38,-0.28,6.63,1.23
AUDUSD,M15,Short Straddle,98,75.5,1368.0,1.35,-0.91,13.96,1.12
AUDCAD,M5,Asian Scalper,52,73.1,224.7,1.33,-0.2,4.32,0.74
AUDJPY,M15,Short Straddle,105,75.2,1153.4,1.32,-0.47,10.98,1.05
EURUSD,M5,Short Straddle,81,74.1,573.0,1.32,-0.49,7.07,0.81
NZDCAD,M5,Short Straddle,75,70.7,371.7,1.32,-0.31,4.96,0.81
CHFJPY,M5,Asian Scalper,63,84.1,356.6,1.32,-0.45,5.66,0.71
CHFJPY,M15,Asian Scalper,71,76.1,736.9,1.31,-0.86,10.38,0.83
EURNZD,M5,Short Straddle,95,81.1,466.4,1.3,-0.54,4.91,0.85
