symbol,tf,session,sigma,sl_atr,spread,trades,wr,pf,pnl,mdd,avg_win,avg_loss,exp,mid_pct,avg_dur
GBPJPY,1h,US,2.2,1.5,2.1,65,63.1,1.75,4203.85,1.42,239.9,234.67,64.67,23.1,267.7
GBPJPY,1h,US,2.2,2.0,2.1,64,62.5,1.48,3131.56,1.93,241.74,272.41,48.93,23.4,291.6
GBPJPY,1h,US,2.0,1.5,2.1,82,54.9,1.41,3118.69,1.99,237.44,204.49,38.03,20.7,274.4
GBPJPY,1h,US,2.2,2.5,2.1,62,61.3,1.4,2684.92,2.39,247.0,279.21,43.31,24.2,309.7
GBPJPY,1h,US,2.0,2.0,2.1,79,55.7,1.26,2218.07,2.38,241.68,240.45,28.08,21.5,297.0
GBPJPY,1h,US,2.5,1.5,2.1,37,56.8,1.49,1870.98,1.52,269.6,236.91,50.57,24.3,244.9
GBPJPY,1h,DAY,3.0,1.5,2.1,31,51.6,1.51,1841.23,1.42,341.9,241.94,59.39,22.6,398.7
GBPUSD,1h,DAY,2.5,2.0,0.8,98,54.1,1.13,1674.57,3.57,277.36,289.45,17.09,28.6,333.1
GBPJPY,1h,US,2.0,2.5,2.1,76,53.9,1.19,1647.94,2.9,246.46,241.63,21.68,22.4,315.8
GBPUSD,15m,US,2.2,2.0,0.8,34,67.6,1.75,1580.86,0.79,160.04,190.92,46.5,67.6,141.6
GBPJPY,1h,DAY,3.0,2.0,2.1,30,56.7,1.39,1568.92,1.74,329.33,309.97,52.3,23.3,412.0
GBPNZD,1h,US,2.2,2.0,3.0,48,52.1,1.36,1530.26,1.43,231.74,185.35,31.88,18.8,326.2
EURUSD,15m,US,2.0,2.0,0.3,52,61.5,1.56,1387.15,0.68,120.34,123.19,26.68,59.6,139.6
GBPJPY,1h,DAY,3.0,2.5,2.1,30,60.0,1.31,1378.96,1.77,320.7,366.14,45.97,26.7,454.0
GBPUSD,15m,US,2.2,1.5,0.8,37,56.8,1.58,1371.87,0.57,177.62,147.38,37.08,56.8,118.4
EURUSD,15m,US,2.0,2.5,0.3,49,63.3,1.53,1343.7,0.91,125.45,141.41,27.42,61.2,151.8
EURUSD,15m,DAY,3.0,1.5,0.3,19,63.2,2.99,1293.43,0.23,161.92,92.8,68.08,57.9,147.6
EURJPY,15m,DAY,3.0,2.0,1.2,24,70.8,1.73,1277.36,1.18,178.55,251.15,53.22,70.8,146.2
GBPJPY,15m,DAY,2.8,2.0,2.1,29,55.2,1.5,1272.36,1.62,239.77,197.23,43.87,55.2,139.7
GBPUSD,15m,US,2.2,2.5,0.8,33,66.7,1.55,1249.14,0.85,160.0,206.44,37.85,69.7,150.9
EURUSD,15m,DAY,3.0,2.5,0.3,18,66.7,2.63,1202.96,0.21,161.92,123.34,66.83,61.1,170.0
EURUSD,15m,US,2.2,2.5,0.3,38,63.2,1.59,1200.52,0.82,134.79,145.32,31.59,60.5,159.5
AUDCHF,1h,DAY,2.8,2.5,1.0,32,56.2,1.84,1196.36,0.54,145.84,102.05,37.39,21.9,418.1
GBPUSD,15m,US,2.0,2.0,0.8,46,63.0,1.38,1192.43,1.19,148.97,183.97,25.92,63.0,140.9
EURUSD,15m,US,2.2,2.0,0.3,40,60.0,1.59,1185.14,0.64,133.17,125.68,29.63,57.5,141.4
