symbol,timeframe,spread_pips,trades,wins,losses,win_rate,total_pnl,annualized_roi,profit_factor,max_dd_pct,max_dd_usd,sharpe_ratio,calmar_ratio
GBPCHF,15m,1.7,10,6,4,60.0,739.28,6.18,3.04,0.17,164.92,2.95,36.35
GBPAUD,15m,2.7,25,16,9,64.0,586.62,3.46,1.59,0.29,288.42,1.06,11.93
GBPCAD,15m,2.2,10,7,3,70.0,495.52,3.17,3.45,0.13,134.02,1.41,24.38
GBPAUD,1h,2.7,8,6,2,75.0,401.62,0.92,4.49,0.07,67.48,-3.03,13.14
GBPUSD,15m,0.8,16,10,6,62.5,295.14,1.71,1.54,0.12,121.14,-0.32,14.25
EURAUD,1h,1.7,15,8,7,53.33,207.07,0.29,1.47,0.17,167.39,-4.1,1.71
CADJPY,5m,1.6,17,5,12,29.41,196.27,3.11,1.31,0.48,486.53,0.47,6.48
AUDCHF,15m,1.0,10,7,3,70.0,193.98,1.77,1.63,0.1,101.17,-0.27,17.7
USDCHF,15m,0.6,12,7,5,58.33,178.81,0.95,1.36,0.24,245.79,-1.11,3.96
EURCHF,15m,1.2,10,4,6,40.0,177.59,0.94,1.84,0.14,143.92,-1.93,6.71
AUDCHF,1h,1.0,9,6,3,66.67,175.65,0.26,1.98,0.15,154.61,-6.38,1.73
AUDJPY,15m,1.9,17,12,5,70.59,133.98,0.74,1.32,0.2,198.81,-1.98,3.7
GBPUSD,5m,0.8,16,11,5,68.75,130.0,1.7,1.73,0.04,40.43,-0.57,42.5
EURGBP,15m,0.7,10,7,3,70.0,124.96,0.89,1.95,0.12,116.44,-2.53,7.42
EURJPY,5m,1.2,17,9,8,52.94,76.99,1.04,1.09,0.64,646.35,-0.29,1.62
EURUSD,15m,0.3,13,7,6,53.85,-17.43,-0.09,0.96,0.19,185.14,-3.71,-0.47
CADCHF,15m,1.1,10,5,5,50.0,-48.22,-0.26,0.84,0.07,65.55,-4.82,-3.71
USDJPY,5m,1.0,20,8,12,40.0,-52.08,-0.7,0.94,0.73,739.19,-0.9,-0.96
USDCAD,15m,0.6,15,7,8,46.67,-53.44,-0.3,0.84,0.14,140.49,-5.15,-2.14
USDCAD,5m,0.6,17,9,8,52.94,-67.05,-0.91,0.71,0.16,158.81,-7.18,-5.69
EURUSD,5m,0.3,15,8,7,53.33,-75.14,-1.09,0.66,0.18,179.14,-7.14,-6.06
EURAUD,5m,1.7,13,7,6,53.85,-75.85,-1.02,0.8,0.19,194.18,-3.51,-5.37
NZDCHF,15m,1.5,13,7,6,53.85,-91.89,-0.57,0.8,0.26,258.61,-3.15,-2.19
AUDCAD,15m,1.4,17,10,7,58.82,-106.67,-0.63,0.81,0.25,246.37,-4.01,-2.52
NZDCAD,5m,1.8,11,5,6,45.45,-148.48,-1.99,0.54,0.18,180.8,-6.15,-11.06
GBPJPY,5m,2.1,18,6,12,33.33,-152.02,-1.98,0.87,1.04,1046.06,-1.06,-1.9
EURCAD,15m,1.9,11,5,6,45.45,-172.42,-1.28,0.53,0.16,158.52,-6.32,-8.0
GBPNZD,15m,3.0,8,5,3,62.5,-174.66,-1.14,0.65,0.16,156.71,-3.48,-7.12
AUDCAD,5m,1.4,16,7,9,43.75,-204.85,-2.76,0.36,0.24,244.8,-10.71,-11.5
USDCHF,5m,0.6,13,4,9,30.77,-223.85,-3.14,0.52,0.32,320.66,-6.17,-9.81
CADCHF,5m,1.1,19,4,15,21.05,-247.09,-4.08,0.51,0.26,261.25,-6.2,-15.69
GBPJPY,15m,2.1,13,8,5,61.54,-263.88,-1.53,0.68,0.67,673.96,-3.08,-2.28
NZDUSD,5m,0.9,14,5,9,35.71,-269.0,-4.26,0.45,0.32,322.0,-8.03,-13.31
