Symbol,Timeframe,Strategy,Trades,WinRate,Profit,PF,MDD,EV,Sharpe
EURUSD,M5,Asian Scalper,53,73.6,582.0,3.06,-0.06,10.98,3.55
EURUSD,M5,Short Straddle,81,74.1,573.0,1.32,-0.49,7.07,0.81
EURUSD,M15,Asian Scalper,49,57.1,192.0,1.15,-0.37,3.92,0.38
EURUSD,M15,Short Straddle,104,65.4,-1301.0,0.81,-2.22,-12.51,-0.77
EURUSD,M30,Asian Scalper,60,61.7,323.0,1.12,-0.48,5.38,0.38
EURUSD,M30,Short Straddle,136,58.1,-1403.0,0.87,-2.2,-10.32,-0.6
EURUSD,H1,Asian Scalper,31,61.3,743.0,1.43,-0.56,23.97,0.83
EURUSD,H1,Short Straddle,131,55.7,873.0,1.08,-2.88,6.66,0.32
GBPUSD,M5,Asian Scalper,52,75.0,815.0,2.88,-0.11,15.67,3.49
GBPUSD,M5,Short Straddle,89,76.4,-18.0,0.99,-0.93,-0.2,-0.02
GBPUSD,M15,Asian Scalper,60,70.0,1672.0,2.53,-0.24,27.87,3.08
GBPUSD,M15,Short Straddle,114,70.2,-1453.0,0.83,-3.6,-12.75,-0.69
GBPUSD,M30,Asian Scalper,63,63.5,376.0,1.11,-1.36,5.97,0.3
GBPUSD,M30,Short Straddle,150,62.7,-1402.0,0.9,-3.37,-9.35,-0.47
GBPUSD,H1,Asian Scalper,23,56.5,-276.0,0.89,-0.99,-12.0,-0.22
GBPUSD,H1,Short Straddle,146,56.8,-490.0,0.97,-3.11,-3.36,-0.13
AUDUSD,M5,Asian Scalper,55,80.0,655.0,2.25,-0.22,11.91,2.1
AUDUSD,M5,Short Straddle,70,60.0,-395.0,0.77,-0.65,-5.64,-0.66
AUDUSD,M15,Asian Scalper,63,58.7,-19.0,0.99,-0.69,-0.3,-0.03
AUDUSD,M15,Short Straddle,98,75.5,1368.0,1.35,-0.91,13.96,1.12
AUDUSD,M30,Asian Scalper,66,51.5,-597.0,0.83,-1.1,-9.05,-0.6
AUDUSD,M30,Short Straddle,97,57.7,-2078.0,0.75,-2.32,-21.42,-1.08
AUDUSD,H1,Asian Scalper,52,57.7,1620.0,1.59,-0.59,31.15,1.4
AUDUSD,H1,Short Straddle,123,51.2,877.0,1.11,-1.61,7.13,0.43
NZDUSD,M5,Asian Scalper,50,64.0,145.0,1.16,-0.5,2.9,0.42
NZDUSD,M5,Short Straddle,74,60.8,-244.0,0.87,-0.72,-3.3,-0.41
NZDUSD,M15,Asian Scalper,61,59.0,24.0,1.01,-0.7,0.39,0.04
NZDUSD,M15,Short Straddle,88,62.5,-607.0,0.86,-1.39,-6.9,-0.52
NZDUSD,M30,Asian Scalper,64,51.6,-1501.0,0.63,-1.5,-23.45,-1.46
NZDUSD,M30,Short Straddle,100,57.0,-1267.0,0.8,-1.61,-12.67,-0.79
NZDUSD,H1,Asian Scalper,52,55.8,411.0,1.12,-1.34,7.9,0.29
NZDUSD,H1,Short Straddle,128,53.9,134.0,1.02,-1.81,1.05,0.07
USDCAD,M5,Asian Scalper,51,66.7,96.8,1.16,-0.2,1.9,0.39
USDCAD,M5,Short Straddle,78,65.4,-1014.1,0.56,-1.11,-13.0,-1.46
USDCAD,M15,Asian Scalper,57,59.6,550.8,1.63,-0.18,9.66,1.53
USDCAD,M15,Short Straddle,105,68.6,162.6,1.04,-1.06,1.55,0.14
USDCAD,M30,Asian Scalper,49,49.0,-257.4,0.83,-0.51,-5.25,-0.51
