類型,模組識別碼,交易品種,週期,總交易次數,獲利筆數(W),虧損筆數(L),勝率(%),實質總淨利(USD),總投報率(%),預估年化報酬(%),獲利因子(PF),盈虧比(Payoff),每筆期望值(USD),最大回撤金額($),最大回撤百分比(%),夏普比率(Sharpe),索提諾比率(Sortino),卡瑪比率(Calmar)
獨立模組,Opt_GBPCHF_15M,GBPCHF,15m,14,13,1,92.86%,"$1,972.83",1.97%,10.29%,12.96,1.0,$140.92,-$164.92,-0.16%,8.64,8.64,64.31
獨立模組,Opt_GBPAUD_15M,GBPAUD,15m,14,13,1,92.86%,"$1,361.56",1.36%,10.8%,13.47,1.04,$97.25,-$109.17,-0.11%,9.85,9.85,98.18
獨立模組,Opt_AUDCHF_15M,AUDCHF,15m,14,10,4,71.43%,$537.08,0.54%,2.76%,2.61,1.04,$38.36,-$157.28,-0.16%,1.07,11.76,17.25
獨立模組,Opt_EURCHF_15M,EURCHF,15m,12,10,2,83.33%,$591.23,0.59%,3.48%,3.95,0.79,$49.27,-$118.44,-0.12%,2.23,6.79,29.0
獨立模組,Opt_GBPCAD_15M,GBPCAD,15m,8,8,0,100.0%,$708.99,0.71%,4.32%,99.0,99.0,$88.62,-$0.00,-0.0%,4.2,4.2,99.0
獨立模組,Opt_CADCHF_15M,CADCHF,15m,14,10,4,71.43%,$397.31,0.4%,2.04%,2.34,0.94,$28.38,-$110.07,-0.11%,0.06,0.13,18.55
獨立模組,Opt_EURAUD_15M,EURAUD,15m,10,9,1,90.0%,$679.07,0.68%,3.49%,5.55,0.62,$67.91,-$0.00,-0.0%,2.41,2.41,99.0
獨立模組,Opt_EURGBP_15M,EURGBP,15m,11,10,1,90.91%,$690.85,0.69%,4.13%,8.82,0.88,$62.8,-$88.39,-0.09%,4.48,4.48,45.89
獨立模組,Opt_EURCAD_15M,EURCAD,15m,9,8,1,88.89%,$375.37,0.38%,2.53%,5.13,0.64,$41.71,-$90.95,-0.09%,1.23,1.23,28.11
獨立模組,Opt_GBPUSD_15M,GBPUSD,15m,4,4,0,100.0%,$348.00,0.35%,4.53%,99.0,99.0,$87.0,-$0.00,-0.0%,21.36,21.36,99.0
🏆 全旗艦組合,PORTFOLIO_TOTAL,10大交叉對組合,5M / 15M,110,95,15,86.36%,"$7,662.29",7.66%,39.34%,6.34,1.0,$69.66,-$259.30,-0.26%,18.16,47.67,151.31
