Model,Symbol,Timeframe,Spread_Pips,Trades,WinRate,Profit,PF,MDD
Asian_Reversion_Clean,EURUSD,M15,0.8,49,61.2,-320.2,0.82,-0.68
London_NY_TrendBreak,EURUSD,M15,0.8,110,31.8,-2193.3,0.7,-3.21
Asian_Reversion_Clean,EURUSD,M30,0.8,24,45.8,-637.5,0.46,-0.64
London_NY_TrendBreak,EURUSD,M30,0.8,60,33.3,-1193.2,0.75,-1.74
London_NY_TrendBreak,EURUSD,H1,0.8,502,36.1,-9259.6,0.82,-11.39
H1_Swing_Harvest,EURUSD,H1,0.8,528,63.1,-3501.6,0.95,-8.36
H1_Swing_Harvest,EURUSD,H4,0.8,152,54.6,-6583.9,0.84,-11.33
Asian_Reversion_Clean,GBPUSD,M15,1.0,50,60.0,-219.4,0.89,-0.54
London_NY_TrendBreak,GBPUSD,M15,1.0,123,32.5,-1464.3,0.84,-2.18
Asian_Reversion_Clean,GBPUSD,M30,1.0,24,50.0,-181.7,0.83,-0.64
London_NY_TrendBreak,GBPUSD,M30,1.0,78,44.9,1694.5,1.29,-0.96
London_NY_TrendBreak,GBPUSD,H1,1.0,576,36.1,-7929.2,0.88,-9.3
H1_Swing_Harvest,GBPUSD,H1,1.0,568,62.5,7076.2,1.08,-4.81
H1_Swing_Harvest,GBPUSD,H4,1.0,167,58.1,3158.1,1.07,-5.33
Asian_Reversion_Clean,USDJPY,M15,0.9,58,51.7,-1578.0,0.56,-1.8
London_NY_TrendBreak,USDJPY,M15,0.9,97,35.1,-429.3,0.93,-1.5
Asian_Reversion_Clean,USDJPY,M30,0.9,36,44.4,-1558.4,0.47,-1.77
London_NY_TrendBreak,USDJPY,M30,0.9,55,40.0,1998.3,1.62,-0.81
London_NY_TrendBreak,USDJPY,H1,0.9,405,43.2,1162.9,1.03,-5.82
H1_Swing_Harvest,USDJPY,H1,0.9,629,56.1,-15746.7,0.85,-17.84
H1_Swing_Harvest,USDJPY,H4,0.9,165,57.6,762.1,1.01,-11.67
Asian_Reversion_Clean,AUDUSD,M15,1.0,65,50.8,-1731.6,0.48,-2.04
London_NY_TrendBreak,AUDUSD,M15,1.0,85,30.6,-1774.8,0.66,-2.52
Asian_Reversion_Clean,AUDUSD,M30,1.0,40,37.5,-1515.9,0.39,-1.52
London_NY_TrendBreak,AUDUSD,M30,1.0,55,34.5,-719.9,0.81,-1.56
London_NY_TrendBreak,AUDUSD,H1,1.0,411,36.7,-10981.1,0.7,-11.83
H1_Swing_Harvest,AUDUSD,H1,1.0,483,63.6,-1397.7,0.97,-8.69
H1_Swing_Harvest,AUDUSD,H4,1.0,144,66.0,8054.2,1.34,-2.46
Asian_Reversion_Clean,USDCAD,M15,1.2,38,65.8,71.0,1.07,-0.27
London_NY_TrendBreak,USDCAD,M15,1.2,86,25.6,-1923.0,0.65,-2.49
Asian_Reversion_Clean,USDCAD,M30,1.2,15,40.0,-454.9,0.4,-0.56
London_NY_TrendBreak,USDCAD,M30,1.2,60,33.3,-1548.7,0.62,-1.94
London_NY_TrendBreak,USDCAD,H1,1.2,392,36.7,-11435.5,0.67,-11.56
H1_Swing_Harvest,USDCAD,H1,1.2,515,61.7,-267.0,0.99,-8.36
H1_Swing_Harvest,USDCAD,H4,1.2,150,56.7,-3986.4,0.87,-7.41
Asian_Reversion_Clean,USDCHF,M15,1.2,36,47.2,-1182.9,0.41,-1.38
London_NY_TrendBreak,USDCHF,M15,1.2,104,31.7,-1761.5,0.79,-2.66
Asian_Reversion_Clean,USDCHF,M30,1.2,19,42.1,-454.1,0.54,-0.47
London_NY_TrendBreak,USDCHF,M30,1.2,60,38.3,109.2,1.02,-1.38
London_NY_TrendBreak,USDCHF,H1,1.2,452,37.2,-8121.1,0.84,-9.75
H1_Swing_Harvest,USDCHF,H1,1.2,499,59.3,-22129.4,0.74,-23.72
H1_Swing_Harvest,USDCHF,H4,1.2,159,57.2,-4297.6,0.9,-9.41
Asian_Reversion_Clean,NZDUSD,M15,1.2,57,49.1,-2137.3,0.39,-2.21
London_NY_TrendBreak,NZDUSD,M15,1.2,96,27.1,-2402.0,0.58,-3.1
Asian_Reversion_Clean,NZDUSD,M30,1.2,37,43.2,-1619.9,0.39,-1.78
London_NY_TrendBreak,NZDUSD,M30,1.2,55,36.4,-696.8,0.81,-1.39
London_NY_TrendBreak,NZDUSD,H1,1.2,456,39.5,-5781.5,0.83,-7.82
H1_Swing_Harvest,NZDUSD,H1,1.2,478,63.0,-1713.3,0.97,-6.03
H1_Swing_Harvest,NZDUSD,H4,1.2,137,62.0,2300.8,1.1,-4.98
Asian_Reversion_Clean,EURGBP,M15,1.3,24,37.5,-551.6,0.19,-0.58
London_NY_TrendBreak,EURGBP,M15,1.3,94,25.5,-3158.4,0.43,-3.16
London_NY_TrendBreak,EURGBP,M30,1.3,56,26.8,-1877.5,0.55,-2.0
London_NY_TrendBreak,EURGBP,H1,1.3,427,34.7,-18221.6,0.55,-18.35
H1_Swing_Harvest,EURGBP,H1,1.3,465,63.7,-3222.3,0.92,-6.64
H1_Swing_Harvest,EURGBP,H4,1.3,117,58.1,-5851.5,0.75,-8.17
Asian_Reversion_Clean,EURJPY,M15,1.3,55,50.9,-1010.3,0.63,-1.79
London_NY_TrendBreak,EURJPY,M15,1.3,107,29.0,-1297.8,0.82,-2.31
Asian_Reversion_Clean,EURJPY,M30,1.3,30,40.0,-1336.5,0.45,-1.77
London_NY_TrendBreak,EURJPY,M30,1.3,57,42.1,847.2,1.21,-1.08
London_NY_TrendBreak,EURJPY,H1,1.3,421,39.4,-9476.5,0.81,-12.48
H1_Swing_Harvest,EURJPY,H1,1.3,604,55.6,-19972.2,0.81,-20.01
H1_Swing_Harvest,EURJPY,H4,1.3,159,62.3,11443.5,1.26,-6.7
Asian_Reversion_Clean,EURCHF,M15,1.5,31,19.4,-1167.5,0.16,-1.17
London_NY_TrendBreak,EURCHF,M15,1.5,67,26.9,-2436.9,0.46,-2.48
Asian_Reversion_Clean,EURCHF,M30,1.5,15,53.3,-165.9,0.64,-0.28
London_NY_TrendBreak,EURCHF,M30,1.5,50,36.0,-1381.3,0.65,-1.98
London_NY_TrendBreak,EURCHF,H1,1.5,380,33.4,-18359.8,0.56,-19.05
H1_Swing_Harvest,EURCHF,H1,1.5,479,62.2,-4795.9,0.9,-10.45
H1_Swing_Harvest,EURCHF,H4,1.5,139,60.4,-1309.3,0.96,-8.83
Asian_Reversion_Clean,EURAUD,M15,2.0,65,50.8,-1600.4,0.58,-1.92
London_NY_TrendBreak,EURAUD,M15,2.0,79,29.1,-1953.4,0.62,-2.53
Asian_Reversion_Clean,EURAUD,M30,2.0,43,46.5,-1522.4,0.49,-1.54
London_NY_TrendBreak,EURAUD,M30,2.0,51,23.5,-2320.8,0.46,-2.84
London_NY_TrendBreak,EURAUD,H1,2.0,361,33.2,-18631.1,0.59,-18.83
H1_Swing_Harvest,EURAUD,H1,2.0,565,60.7,-9914.6,0.88,-13.28
H1_Swing_Harvest,EURAUD,H4,2.0,150,58.7,-4230.5,0.9,-11.11
Asian_Reversion_Clean,EURCAD,M15,1.8,28,28.6,-1273.3,0.16,-1.33
London_NY_TrendBreak,EURCAD,M15,1.8,99,31.3,-2240.9,0.66,-2.49
London_NY_TrendBreak,EURCAD,M30,1.8,59,32.2,-987.3,0.76,-1.16
London_NY_TrendBreak,EURCAD,H1,1.8,442,32.1,-16815.4,0.64,-19.07
H1_Swing_Harvest,EURCAD,H1,1.8,544,65.6,4973.7,1.09,-5.01
H1_Swing_Harvest,EURCAD,H4,1.8,143,65.0,6395.4,1.24,-4.22
Asian_Reversion_Clean,EURNZD,M15,2.5,63,47.6,-3332.5,0.37,-3.4
London_NY_TrendBreak,EURNZD,M15,2.5,83,25.3,-3396.8,0.48,-4.1
Asian_Reversion_Clean,EURNZD,M30,2.5,43,44.2,-2354.6,0.47,-2.65
London_NY_TrendBreak,EURNZD,M30,2.5,53,32.1,-1898.6,0.62,-2.44
London_NY_TrendBreak,EURNZD,H1,2.5,365,34.2,-18399.6,0.58,-18.59
H1_Swing_Harvest,EURNZD,H1,2.5,584,60.8,-6241.6,0.93,-12.33
H1_Swing_Harvest,EURNZD,H4,2.5,129,54.3,-8381.3,0.78,-12.53
Asian_Reversion_Clean,GBPJPY,M15,1.6,46,63.0,-867.1,0.73,-1.93
London_NY_TrendBreak,GBPJPY,M15,1.6,104,35.6,-830.4,0.9,-1.41
Asian_Reversion_Clean,GBPJPY,M30,1.6,23,34.8,-1808.3,0.35,-2.19
London_NY_TrendBreak,GBPJPY,M30,1.6,61,39.3,673.8,1.1,-1.8
London_NY_TrendBreak,GBPJPY,H1,1.6,466,35.2,-14895.3,0.79,-20.17
H1_Swing_Harvest,GBPJPY,H1,1.6,644,59.2,-399.1,1.0,-13.41
H1_Swing_Harvest,GBPJPY,H4,1.6,151,60.3,10325.7,1.2,-5.1
Asian_Reversion_Clean,GBPAUD,M15,2.5,62,51.6,-2004.6,0.48,-2.06
London_NY_TrendBreak,GBPAUD,M15,2.5,102,36.3,-945.1,0.86,-1.31
Asian_Reversion_Clean,GBPAUD,M30,2.5,39,46.2,-1920.8,0.39,-2.01
London_NY_TrendBreak,GBPAUD,M30,2.5,59,39.0,93.8,1.02,-1.49
London_NY_TrendBreak,GBPAUD,H1,2.5,407,36.4,-14139.1,0.73,-14.29
H1_Swing_Harvest,GBPAUD,H1,2.5,576,59.7,-8642.2,0.91,-11.07
H1_Swing_Harvest,GBPAUD,H4,2.5,147,65.3,14828.3,1.41,-3.98
Asian_Reversion_Clean,GBPCAD,M15,2.2,26,53.8,-592.2,0.39,-0.67
London_NY_TrendBreak,GBPCAD,M15,2.2,107,29.0,-3227.7,0.62,-3.36
London_NY_TrendBreak,GBPCAD,M30,2.2,66,27.3,-2172.7,0.64,-2.17
London_NY_TrendBreak,GBPCAD,H1,2.2,496,36.9,-11451.7,0.79,-11.93
H1_Swing_Harvest,GBPCAD,H1,2.2,615,63.9,4574.7,1.06,-4.49
H1_Swing_Harvest,GBPCAD,H4,2.2,148,62.2,9110.9,1.27,-3.44
Asian_Reversion_Clean,GBPCHF,M15,2.2,28,42.9,-759.4,0.46,-0.88
London_NY_TrendBreak,GBPCHF,M15,2.2,86,26.7,-4774.2,0.45,-4.88
London_NY_TrendBreak,GBPCHF,M30,2.2,52,28.8,-2232.5,0.61,-2.88
London_NY_TrendBreak,GBPCHF,H1,2.2,431,31.8,-23672.4,0.64,-25.35
H1_Swing_Harvest,GBPCHF,H1,2.2,533,64.7,-6722.8,0.91,-10.8
H1_Swing_Harvest,GBPCHF,H4,2.2,139,61.9,34.4,1.0,-10.01
Asian_Reversion_Clean,GBPNZD,M15,3.0,57,42.1,-4014.0,0.29,-4.13
London_NY_TrendBreak,GBPNZD,M15,3.0,81,24.7,-3493.6,0.56,-3.54
Asian_Reversion_Clean,GBPNZD,M30,3.0,41,46.3,-2210.0,0.5,-2.7
London_NY_TrendBreak,GBPNZD,M30,3.0,47,27.7,-2008.3,0.63,-2.42
London_NY_TrendBreak,GBPNZD,H1,3.0,350,34.6,-20084.4,0.58,-20.35
H1_Swing_Harvest,GBPNZD,H1,3.0,560,62.7,6244.7,1.07,-10.64
H1_Swing_Harvest,GBPNZD,H4,3.0,137,57.7,-1725.5,0.96,-7.74
Asian_Reversion_Clean,AUDJPY,M15,1.5,62,48.4,-1495.4,0.55,-1.68
London_NY_TrendBreak,AUDJPY,M15,1.5,94,28.7,-2083.0,0.65,-2.51
Asian_Reversion_Clean,AUDJPY,M30,1.5,51,35.3,-2887.2,0.28,-2.89
London_NY_TrendBreak,AUDJPY,M30,1.5,54,38.9,294.5,1.08,-1.15
London_NY_TrendBreak,AUDJPY,H1,1.5,374,39.3,-7470.9,0.79,-10.33
H1_Swing_Harvest,AUDJPY,H1,1.5,560,53.4,-22373.1,0.73,-22.37
H1_Swing_Harvest,AUDJPY,H4,1.5,154,59.7,4108.7,1.11,-5.64
Asian_Reversion_Clean,AUDCAD,M15,1.5,46,47.8,-620.2,0.74,-0.98
